session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6234046957c0efa715323b99,603e5b7d52f770000b46bfb7,APPROVED,2022-03-18 04:02:49.294000,2022-03-18 04:08:55.093000,365.799,19,301,0,100,2022-03-19 17:45:57.038000,561DDF44,United States,United States,DATA EXPIRED,English,United States,Female,Yes
623404f18cc529e53a7550dd,5d4a1c61be2a040001beaedb,APPROVED,2022-03-18 04:05:09.013000,2022-03-18 04:11:27.739000,378.726,30,1117,9,98,2022-03-19 17:45:57.108000,561DDF44,Pakistan,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6234059ae0ed42d2ab271dbd,610235a7bba9b59ecb471e4d,APPROVED,2022-03-18 04:07:57.758000,2022-03-18 04:14:27.402000,389.644,26,4,0,100,2022-03-19 17:45:57.168000,561DDF44,DATA EXPIRED,United States,Part-Time,English,United States,Male,DATA EXPIRED
623405f041bf6ba9a990ba8f,5ede2d50869843041d303b7a,APPROVED,2022-03-18 04:09:23.596000,2022-03-18 04:14:35.718000,312.122,19,121,1,99,2022-03-19 17:45:57.229000,NOCODE,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
623405f1a9f256a26987beac,5f481794995b8b18a9cf2add,APPROVED,2022-03-18 04:09:23.590000,2022-03-18 04:16:26.168000,422.578,27,159,0,100,2022-03-19 17:45:57.480000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,Yes
623406bd64f5a75ba7e6e2f2,55914b15fdf99b1e5e44e714,APPROVED,2022-03-18 04:12:45.458000,2022-03-18 04:20:13.097000,447.639,34,494,0,100,2022-03-19 17:45:57.542000,561DDF44,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62340803783d5c47d6e4fad5,5f810b88592c911b7d9accef,APPROVED,2022-03-18 04:18:15.396000,2022-03-18 04:22:28.258000,252.862,19,884,0,100,2022-03-19 17:45:57.603000,561DDF44,United States,United States,Other,English,United States,Female,Yes
62340867b89476f67bf51c97,5f84dfd00f8a7b1bacf4f3e3,APPROVED,2022-03-18 04:19:54.892000,2022-03-18 04:22:51.922000,177.03,27,1253,10,98,2022-03-19 17:45:57.663000,561DDF44,Philippines,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62340962d6563308002274ca,613e2422fe4dd09d869b2944,APPROVED,2022-03-18 04:24:06.933000,2022-03-18 04:30:45.731000,398.798,59,165,1,100,2022-03-19 17:45:57.747000,561DDF44,United Kingdom,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6234096af87df4e65861eca7,611063d6237395a47bc3c083,RETURNED,2022-03-18 04:24:12.289000,,4652640.986265,20,114,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6234098e211239f55b5c64c0,60c51d88361c1aec2cdc2d9e,APPROVED,2022-03-18 04:24:53.694000,2022-03-18 04:33:12.950000,499.256,25,307,0,100,2022-03-19 17:45:57.835000,NOCODE,United States,United States,Full-Time,English,United States,Male,No
6234c2458d38dc0b2eb00958,5dec1482443d0b312786d74b,APPROVED,2022-03-18 17:33:16.045000,2022-03-18 17:39:06.205000,350.16,25,952,0,100,2022-03-19 17:45:57.895000,561DDF44,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6234c2620d2186e64f7b1c11,6108810ffeafd39e02b1ee35,APPROVED,2022-03-18 17:33:30.690000,2022-03-18 17:37:25.525000,234.835,20,305,0,100,2022-03-19 17:45:57.998000,561DDF44,United States,United States,Part-Time,English,United States,Female,Yes
6234c316c20df481516159a8,5ae090dadee8590001b078c8,APPROVED,2022-03-18 17:36:26.267000,2022-03-18 17:41:25.850000,299.583,33,599,2,100,2022-03-19 17:45:58.062000,561DDF44,United States,United States,Part-Time,English,United States,Male,No
6234c317652e90115f33dd6b,615212aaa4b41922e0765736,RETURNED,2022-03-18 17:36:26.701000,,4605106.630533,51,236,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6234c31ddfd76251663bfb90,5f74f5230b907e1577eb3507,APPROVED,2022-03-18 17:36:33.002000,2022-03-18 17:42:32.872000,359.87,24,733,3,100,2022-03-19 17:45:58.126000,561DDF44,United States,United States,Part-Time,English,United States,Female,DATA EXPIRED
6234c32f9cf7a26fd8ac566d,5faff3a31137f42fcf5fd438,APPROVED,2022-03-18 17:36:51.167000,2022-03-18 17:45:27.233000,516.066,45,234,1,100,2022-03-19 17:45:58.219000,561DDF44,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
6234c35218da55611efdf075,60ff6b0720fb724536710e7a,APPROVED,2022-03-18 17:37:27.266000,2022-03-18 17:41:02.099000,214.833,21,141,0,100,2022-03-19 17:45:58.282000,561DDF44,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6234c386865dad26efe715ef,60d8db71e3c6d6bad40d01d3,APPROVED,2022-03-18 17:38:16.396000,2022-03-18 17:42:41.177000,264.781,27,538,0,100,2022-03-19 17:45:58.354000,561DDF44,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Female,DATA EXPIRED
6234c3bd0df796863db90fd3,5eb02b75d2a3d708e31803b8,APPROVED,2022-03-18 17:39:13.502000,2022-03-18 17:48:35.314000,561.812,52,599,2,100,2022-03-19 17:45:58.453000,561DDF44,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6234c3bf84211a701a42fb42,5f1787552e9d2b0009679648,APPROVED,2022-03-18 17:39:16.975000,2022-03-18 17:44:38.004000,321.029,19,283,0,100,2022-03-19 17:45:58.517000,561DDF44,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6234c3f4f1d5c5199ffdf606,60b68c0c1a1ad56d8318da04,APPROVED,2022-03-18 17:40:09.101000,2022-03-18 17:56:38.606000,989.505,20,278,0,100,2022-03-19 17:45:58.580000,561DDF44,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,Yes
6234c44c270fd3585fd062d8,60fd978c77223cb3d24d6618,APPROVED,2022-03-18 17:41:35.095000,2022-03-18 17:45:47.246000,252.151,22,393,2,100,2022-03-19 17:45:58.641000,561DDF44,United States,United States,Part-Time,English,United States,Female,Yes
6234c44d9821b61aedb31bac,6145a88c94a2c86532d36b0f,APPROVED,2022-03-18 17:41:35.316000,2022-03-18 17:46:52.217000,316.901,23,604,4,99,2022-03-19 17:45:58.747000,561DDF44,United States,United States,Unemployed (and job seeking),English,United States,Male,No
6234c485651ca7a11f596891,61042ac491305753cd36f6fa,APPROVED,2022-03-18 17:42:31.595000,2022-03-18 17:47:28.645000,297.05,24,619,2,100,2022-03-19 17:45:58.821000,561DDF44,Korea,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6234c4c988e9fb29306038fd,5cbf486a0cdf7a0017b9aa79,APPROVED,2022-03-18 17:43:40.075000,2022-03-18 17:47:28.062000,227.987,32,482,2,100,2022-03-19 17:45:58.888000,561DDF44,United States,United States,Full-Time,English,United States,Male,DATA EXPIRED
