session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6233d64fb0af3901585dd408,60801aa3467fd2f54022f40d,APPROVED,2022-03-18 00:46:14.159000,2022-03-18 00:54:41.174000,507.015,48,56,0,100,2022-03-18 03:35:42.924000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,No
6233d676fbf0f90519ab6e19,5d087641c393440019df7510,APPROVED,2022-03-18 00:46:51.176000,2022-03-18 00:52:24.865000,333.689,22,391,1,100,2022-03-18 03:35:42.990000,NOCODE,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
6233d6b10b393234b283127e,5f473eafdbc4a2121ceae963,APPROVED,2022-03-18 00:47:48.626000,2022-03-18 00:51:48.090000,239.464,31,632,3,100,2022-03-18 03:35:43.048000,NOCODE,United States,United States,DATA EXPIRED,Chinese,United States,Female,DATA EXPIRED
6233d85b225e6d6448068cab,60208255101ae06c92fc0117,APPROVED,2022-03-18 00:54:57.093000,2022-03-18 01:00:40.155000,343.062,22,75,0,100,2022-03-18 03:35:43.109000,NOCODE,United States,United States,DATA EXPIRED,Spanish,United States,Male,DATA EXPIRED
6233d89c461beb9afe0c8272,5942dbaa62999200010fc9ce,APPROVED,2022-03-18 00:56:01.182000,2022-03-18 01:01:21.623000,320.441,67,187,3,99,2022-03-18 03:35:43.168000,NOCODE,Canada,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
6233d8afcd0b8a46f4abc9bc,61040a1045b301318b1ea385,APPROVED,2022-03-18 00:56:19.546000,2022-03-18 01:03:15.279000,415.733,26,48,1,99,2022-03-18 03:35:43.256000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6233da43b1b472d430738c2d,5de7f5d27c17f804d007da90,APPROVED,2022-03-18 01:03:02.983000,2022-03-18 01:11:26.062000,503.079,37,492,0,100,2022-03-18 03:35:43.345000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6233da79f77cd1de4a04f4fc,61037a7204c3bfc31c1289dd,APPROVED,2022-03-18 01:03:57.084000,2022-03-18 01:10:44.691000,407.607,26,299,1,100,2022-03-18 03:35:43.413000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6233da7b86f187badf8d2d6a,6110de9b4f5ac5a4399c7b46,TIMED-OUT,2022-03-18 01:03:57.890000,,9660.955881,23,64,0,100,,,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6233daa37b8a9403ec0ef300,5fc43dcde1880f139efc0b0a,APPROVED,2022-03-18 01:04:38.367000,2022-03-18 01:09:11.003000,272.636,49,393,2,99,2022-03-18 03:35:43.525000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6233e44199e21e2d644177f2,5ae59f8cc3c3ab00018f7185,APPROVED,2022-03-18 01:54:27.623000,2022-03-18 02:07:06.591000,758.968,,1453,2,100,2022-03-18 03:35:43.584000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
