,_id,rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,last_trial_type,experiment_id,datetime,browser,collection,database,iteration,choice,choice_category,choice_object,correct,correct_response,key_press,oddity_category,oddity_index,oddity_name,oddity_type,timed_out,trial_number,typical_category,typical_indices,typical_name,variation_level,meta_new,meta_old,new_gender,new_identity,new_index,new_mb,new_race,new_tiltLR,new_tiltUD,old_gender,old_identity,old_index,old_mb,old_original_index,old_original_tiltLR,old_original_tiltUD,old_race,old_tiltLR,old_tiltUD,slider_start,stimuli,tilt_change,tilt_difference,experimental_duration,filler_accuracy,filler_avg_rt,filler_n_trials,params,retrieval_accuracy,retrieval_avg_rt,retrieval_n_trials,total_bonus,total_payment,age,gender,gender_other,latinx,race
659,6345f5349cb434415f3c2154,2937,<p style='font-size: 150%'><b>You have finished Part 1!</b></p><p>Click 'Next' to continue to Part 2.</p>,0,bonus_update,83,278122,0.0-83.0,60b086e07a56549b8b182f8a,633e47989d9c0ed6dfbfb57b,6345f36c759c3428cbeb2db2,encoding,av7e29z4b64zkazn9kml,"10/11/2022, 3:59:00 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,6345f5559cb434415f3c2155,3228,"['../stimuli/objectome/1514.jpeg', '../stimuli/objectome/1492.jpeg', '../stimuli/objectome/2843.jpeg']",,filler,85,311664,0.0-85.0-0.0,60b086e07a56549b8b182f8a,633e47989d9c0ed6dfbfb57b,6345f36c759c3428cbeb2db2,,av7e29z4b64zkazn9kml,"10/11/2022, 3:59:33 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,3.0,planes,mig29,True,3.0,arrowdown,planes,2843.0,mig29,within,False,1.0,planes,"[1514, 1492]",_01_Airliner_2jetEngines,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,6345f5599cb434415f3c2156,2207,"['../stimuli/objectome/2417.jpeg', '../stimuli/objectome/1846.jpeg', '../stimuli/objectome/1872.jpeg']",,filler,87,315741,0.0-86.0-0.0,60b086e07a56549b8b182f8a,633e47989d9c0ed6dfbfb57b,6345f36c759c3428cbeb2db2,,av7e29z4b64zkazn9kml,"10/11/2022, 3:59:37 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,1.0,planes,f16,True,1.0,arrowleft,planes,2417.0,f16,within,False,2.0,planes,"[1846, 1872]",_19_flyingBoat,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,6345f55c9cb434415f3c2157,3029,<p style='font-size: 150%'><b>You have finished Part 1!</b></p><p>Click 'Next' to continue to Part 2.</p>,0,bonus_update,83,200607,0.0-83.0,61010cf76dbeae43033e1729,633e47989d9c0ed6dfbfb57b,6345f4638ad0a8b2bda1aec9,encoding,0mr3yahvscry2m1qthcd,"10/11/2022, 4:59:40 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,6345f55d9cb434415f3c2158,2039,"['../stimuli/objectome/1631.jpeg', '../stimuli/objectome/2419.jpeg', '../stimuli/objectome/2421.jpeg']",,filler,89,319085,0.0-87.0-0.0,60b086e07a56549b8b182f8a,633e47989d9c0ed6dfbfb57b,6345f36c759c3428cbeb2db2,,av7e29z4b64zkazn9kml,"10/11/2022, 3:59:41 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,1.0,planes,_05_future,True,1.0,arrowleft,planes,1631.0,_05_future,within,False,3.0,planes,"[2419, 2421]",f16,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,6345f5629cb434415f3c2159,1830,"['../stimuli/objectome/2796.jpeg', '../stimuli/objectome/993.jpeg', '../stimuli/objectome/2782.jpeg']",,filler,92,324757,0.0-89.0,60b086e07a56549b8b182f8a,633e47989d9c0ed6dfbfb57b,6345f36c759c3428cbeb2db2,,av7e29z4b64zkazn9kml,"10/11/2022, 3:59:46 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,2.0,animals,LIONESS,True,2.0,arrowright,animals,993.0,LIONESS,within,False,4.0,animals,"[2796, 2782]",hedgehog,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,6345f5659cb434415f3c215a,1287,"['../stimuli/objectome/85.jpeg', '../stimuli/objectome/82.jpeg', '../stimuli/objectome/66.jpeg']",,filler,94,326893,0.0-91.0,60b086e07a56549b8b182f8a,633e47989d9c0ed6dfbfb57b,6345f36c759c3428cbeb2db2,,av7e29z4b64zkazn9kml,"10/11/2022, 3:59:49 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,3.0,animals,ELEPHANT_M,True,3.0,arrowdown,animals,66.0,ELEPHANT_M,within,False,5.0,animals,"[85, 82]",LIONESS,V0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,6345f5689cb434415f3c215b,2535,"['../stimuli/objectome/1435.jpeg', '../stimuli/objectome/1574.jpeg', '../stimuli/objectome/1576.jpeg']",,filler,96,330141,0.0-93.0,60b086e07a56549b8b182f8a,633e47989d9c0ed6dfbfb57b,6345f36c759c3428cbeb2db2,,av7e29z4b64zkazn9kml,"10/11/2022, 3:59:52 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,1.0,chairs,_011,True,1.0,arrowleft,chairs,1435.0,_011,within,False,6.0,chairs,"[1574, 1576]",_033,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,6345f56a9cb434415f3c215c,1575,"['../stimuli/objectome/1431.jpeg', '../stimuli/objectome/1409.jpeg', '../stimuli/objectome/1471.jpeg']",,filler,98,332653,0.0-95.0,60b086e07a56549b8b182f8a,633e47989d9c0ed6dfbfb57b,6345f36c759c3428cbeb2db2,,av7e29z4b64zkazn9kml,"10/11/2022, 3:59:54 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,3.0,chairs,_014,True,3.0,arrowdown,chairs,1471.0,_014,within,False,7.0,chairs,"[1431, 1409]",_011,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,6345f56e9cb434415f3c215d,3072,"['../stimuli/objectome/2415.jpeg', '../stimuli/objectome/1622.jpeg', '../stimuli/objectome/1635.jpeg']",,filler,100,336365,0.0-97.0,60b086e07a56549b8b182f8a,633e47989d9c0ed6dfbfb57b,6345f36c759c3428cbeb2db2,,av7e29z4b64zkazn9kml,"10/11/2022, 3:59:58 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,1.0,planes,f16,True,1.0,arrowleft,planes,2415.0,f16,within,False,8.0,planes,"[1622, 1635]",_05_future,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,6345f5719cb434415f3c215e,2103,"['../stimuli/objectome/1550.jpeg', '../stimuli/objectome/1261.jpeg', '../stimuli/objectome/1246.jpeg']",,filler,102,339044,0.0-99.0,60b086e07a56549b8b182f8a,633e47989d9c0ed6dfbfb57b,6345f36c759c3428cbeb2db2,,av7e29z4b64zkazn9kml,"10/11/2022, 4:00:01 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,1.0,chairs,_031,True,1.0,arrowleft,chairs,1550.0,_031,within,False,9.0,chairs,"[1261, 1246]",_001,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,6345f5749cb434415f3c215f,1855,"['../stimuli/objectome/1313.jpeg', '../stimuli/objectome/1246.jpeg', '../stimuli/objectome/1299.jpeg']",,filler,104,342156,0.0-101.0,60b086e07a56549b8b182f8a,633e47989d9c0ed6dfbfb57b,6345f36c759c3428cbeb2db2,,av7e29z4b64zkazn9kml,"10/11/2022, 4:00:04 PM",Chrome,task_exp2,chris,pilot_prolific_exp2.2,2.0,chairs,_001,True,2.0,arrowright,chairs,1246.0,_001,within,False,10.0,chairs,"[1313, 1299]",_004,V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
