,_id,browser,choice,collection,correct,correct_response,database,datetime,experiment_id,internal_node_id,iteration,key_press,oddity_gender,oddity_identity,oddity_index,oddity_race,oddity_tiltLR,oddity_tiltUD,rt,stimulus,time_elapsed,timed_out,trial_index,trial_number,trial_type,typicals_gender,typicals_identity,typicals_indices,typicals_race,typicals_tiltsLR,typicals_tiltsUD,practice_threshold_met,oddity_meta,typicals_meta,button_pressed,last_trial_type,prediction,choice_category,choice_object,oddity_category,oddity_name,oddity_type,stimulus_response_map,typical_category,typical_indices,typical_name,variation_level,encoding_pair,encoding_type,gender,identity,meta,original_index,original_tiltLR,original_tiltUD,race,response,retrieval_condition,tiltLR,tiltUD,tilt_change,tilt_difference,original_tilt,encoding_accuracy,encoding_avg_rt,encoding_n_trials,experimental_duration,filler_accuracy,filler_avg_rt,filler_n_trials,params,retrieval_accuracy,retrieval_avg_rt,retrieval_n_trials,total_bonus,total_payment,age,gender_other,latinx,session_id,study_id,subject_id,meta_new,meta_old,new_gender,new_identity,new_index,new_race,new_tiltLR,new_tiltUD,old_encoding_pair,old_encoding_type,old_gender,old_identity,old_index,old_original_index,old_original_tiltLR,old_original_tiltUD,old_race,old_tiltLR,old_tiltUD,stimuli,oddity_mb,typicals_mb,new_mb,old_mb,old_tilt_change,old_tilt_difference
11089,626b34561a371c538416a80c,Chrome,3.0,main_task,1.0,3.0,chris,"4/28/2022, 8:41:58 PM",cqbz7lh19r6krarwzy7n,0.0-2.0-0.0,pilot_prolific_afc2,40,woman,110,2.0,latinx,50R,D,2982.0,"['../stimuli/version1_gray_lm/id106_25L_U.png', '../stimuli/version1_gray_lm/id106_00C_C.png', '../stimuli/version1_gray_lm/id110_50R_D.png']",124852.0,0.0,2.0,1.0,encoding_practice,woman,106,"[0, 1]",latinx,"['25L', '00C']","['U', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626b33cea0ce07a0486c19f1,626b317e2da99f76c814befb,590884b2ac756c0001ecb837,,,,,,,,,,,,,,,,,,,,,0.8334890604019165,"[0.7987434267997742, 0.8394277691841125]",,,,
11090,626b345b1a371c538416a80d,Chrome,1.0,main_task,1.0,1.0,chris,"4/28/2022, 8:42:03 PM",cqbz7lh19r6krarwzy7n,0.0-2.1-0.1,pilot_prolific_afc2,37,woman,108,0.0,latinx,50L,C,2232.0,"['../stimuli/version1_gray_lm/id108_50L_C.png', '../stimuli/version1_gray_lm/id106_50R_D.png', '../stimuli/version1_gray_lm/id106_00C_U.png']",130652.0,0.0,4.0,2.0,encoding_practice,woman,106,"[1, 2]",latinx,"['50R', '00C']","['D', 'U']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626b33cea0ce07a0486c19f1,626b317e2da99f76c814befb,590884b2ac756c0001ecb837,,,,,,,,,,,,,,,,,,,,,0.8190761804580688,"[0.8102920055389404, 0.8478227853775024]",,,,
11091,626b345f1a371c538416a80e,Chrome,3.0,main_task,0.0,1.0,chris,"4/28/2022, 8:42:07 PM",cqbz7lh19r6krarwzy7n,0.0-2.2-0.2,pilot_prolific_afc2,40,woman,106,0.0,latinx,25R,U,1860.0,"['../stimuli/version1_gray_lm/id106_25R_U.png', '../stimuli/version1_gray_lm/id110_50L_C.png', '../stimuli/version1_gray_lm/id110_00C_D.png']",134368.0,0.0,6.0,3.0,encoding_practice,woman,110,"[1, 2]",latinx,"['50L', '00C']","['C', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626b33cea0ce07a0486c19f1,626b317e2da99f76c814befb,590884b2ac756c0001ecb837,,,,,,,,,,,,,,,,,,,,,0.7741471529006958,"[0.8412233591079712, 0.840205192565918]",,,,
11092,626b34621a371c538416a80f,Chrome,1.0,main_task,0.0,2.0,chris,"4/28/2022, 8:42:10 PM",cqbz7lh19r6krarwzy7n,0.0-2.3-0.3,pilot_prolific_afc2,37,woman,110,1.0,latinx,50R,U,1305.0,"['../stimuli/version1_gray_lm/id108_50L_C.png', '../stimuli/version1_gray_lm/id110_50R_U.png', '../stimuli/version1_gray_lm/id108_00C_D.png']",137564.0,0.0,8.0,4.0,encoding_practice,woman,108,"[0, 2]",latinx,"['50L', '00C']","['C', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626b33cea0ce07a0486c19f1,626b317e2da99f76c814befb,590884b2ac756c0001ecb837,,,,,,,,,,,,,,,,,,,,,0.8715043663978577,"[0.8190761804580688, 0.851161539554596]",,,,
11093,626b34661a371c538416a810,Chrome,2.0,main_task,1.0,2.0,chris,"4/28/2022, 8:42:14 PM",cqbz7lh19r6krarwzy7n,0.0-2.4-0.4,pilot_prolific_afc2,39,woman,106,1.0,latinx,00C,D,2395.0,"['../stimuli/version1_gray_lm/id108_25L_U.png', '../stimuli/version1_gray_lm/id106_00C_D.png', '../stimuli/version1_gray_lm/id108_50R_C.png']",141199.0,0.0,10.0,5.0,encoding_practice,woman,108,"[0, 2]",latinx,"['25L', '50R']","['U', 'C']",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626b33cea0ce07a0486c19f1,626b317e2da99f76c814befb,590884b2ac756c0001ecb837,,,,,,,,,,,,,,,,,,,,,0.8164364099502563,"[0.829716682434082, 0.8142877221107483]",,,,
11094,626b34741a371c538416a811,Chrome,1.0,main_task,0.0,2.0,chris,"4/28/2022, 8:42:28 PM",cqbz7lh19r6krarwzy7n,0.0-4.0,pilot_prolific_afc2,37,woman,103,1.0,black,50R,C,1287.0,"['../stimuli/version1_gray_lm/id016_25L_U.png', '../stimuli/version1_gray_lm/id103_50R_C.png', '../stimuli/version1_gray_lm/id016_00C_D.png']",155281.0,0.0,13.0,1.0,encoding,woman,016,"[0, 2]",black,"['25L', '00C']","['U', 'D']",,"{'muct_id': '285', 'lighting': 'v', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'black', 'gender_common': 'woman'}","{'muct_id': '18', 'lighting': 'q', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'black', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626b33cea0ce07a0486c19f1,626b317e2da99f76c814befb,590884b2ac756c0001ecb837,,,,,,,,,,,,,,,,,,,,,0.822131872177124,"[0.7409974336624146, 0.8543796539306641]",,,,
11095,626b34761a371c538416a812,Chrome,1.0,main_task,1.0,1.0,chris,"4/28/2022, 8:42:30 PM",cqbz7lh19r6krarwzy7n,0.0-6.0,pilot_prolific_afc2,37,woman,101,0.0,white,00C,D,970.0,"['../stimuli/version1_gray_lm/id101_00C_D.png', '../stimuli/version1_gray_lm/id076_50L_C.png', '../stimuli/version1_gray_lm/id076_25R_U.png']",157301.0,0.0,15.0,2.0,encoding,woman,076,"[1, 2]",white,"['50L', '25R']","['C', 'U']",,"{'muct_id': '281', 'lighting': 't', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '233', 'lighting': 'u', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626b33cea0ce07a0486c19f1,626b317e2da99f76c814befb,590884b2ac756c0001ecb837,,,,,,,,,,,,,,,,,,,,,0.8530598878860474,"[0.7991483807563782, 0.8417189121246338]",,,,
11096,626b34781a371c538416a813,Chrome,2.0,main_task,1.0,2.0,chris,"4/28/2022, 8:42:32 PM",cqbz7lh19r6krarwzy7n,0.0-8.0,pilot_prolific_afc2,39,man,100,1.0,white,25R,U,1527.0,"['../stimuli/version1_gray_lm/id094_00C_C.png', '../stimuli/version1_gray_lm/id100_25R_U.png', '../stimuli/version1_gray_lm/id094_25L_D.png']",159728.0,0.0,17.0,3.0,encoding,man,094,"[0, 2]",white,"['00C', '25L']","['C', 'D']",,"{'muct_id': '280', 'lighting': 'u', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '264', 'lighting': 't', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626b33cea0ce07a0486c19f1,626b317e2da99f76c814befb,590884b2ac756c0001ecb837,,,,,,,,,,,,,,,,,,,,,0.7723164558410645,"[0.8873373866081238, 0.8378531336784363]",,,,
11097,626b347b1a371c538416a814,Chrome,3.0,main_task,1.0,3.0,chris,"4/28/2022, 8:42:35 PM",cqbz7lh19r6krarwzy7n,0.0-10.0,pilot_prolific_afc2,40,man,105,2.0,black,25R,D,1788.0,"['../stimuli/version1_gray_lm/id065_00C_U.png', '../stimuli/version1_gray_lm/id065_25L_C.png', '../stimuli/version1_gray_lm/id105_25R_D.png']",162189.0,0.0,19.0,4.0,encoding,man,065,"[0, 1]",black,"['00C', '25L']","['U', 'C']",,"{'muct_id': '290', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '206', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626b33cea0ce07a0486c19f1,626b317e2da99f76c814befb,590884b2ac756c0001ecb837,,,,,,,,,,,,,,,,,,,,,0.8421586751937866,"[0.8154619932174683, 0.8296511769294739]",,,,
11098,626b347e1a371c538416a815,Chrome,3.0,main_task,0.0,2.0,chris,"4/28/2022, 8:42:38 PM",cqbz7lh19r6krarwzy7n,0.0-12.0,pilot_prolific_afc2,40,man,107,1.0,black,50R,C,2236.0,"['../stimuli/version1_gray_lm/id098_00C_D.png', '../stimuli/version1_gray_lm/id107_50R_C.png', '../stimuli/version1_gray_lm/id098_50L_U.png']",165148.0,0.0,21.0,5.0,encoding,man,098,"[0, 2]",black,"['00C', '50L']","['D', 'U']",,"{'muct_id': '297', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '4.0', 'notes': 'beard', 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '274', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '4.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626b33cea0ce07a0486c19f1,626b317e2da99f76c814befb,590884b2ac756c0001ecb837,,,,,,,,,,,,,,,,,,,,,0.8026496767997742,"[0.8749359846115112, 0.7912300825119019]",,,,
