,_id,browser,choice,collection,correct,correct_response,database,datetime,experiment_id,internal_node_id,iteration,key_press,oddity_gender,oddity_identity,oddity_index,oddity_race,oddity_tiltLR,oddity_tiltUD,rt,stimulus,time_elapsed,timed_out,trial_index,trial_number,trial_type,typicals_gender,typicals_identity,typicals_indices,typicals_race,typicals_tiltsLR,typicals_tiltsUD,practice_threshold_met,oddity_meta,typicals_meta,button_pressed,last_trial_type,prediction,choice_category,choice_object,oddity_category,oddity_name,oddity_type,stimulus_response_map,typical_category,typical_indices,typical_name,variation_level,encoding_pair,encoding_type,gender,identity,meta,original_index,original_tiltLR,original_tiltUD,race,response,retrieval_condition,tiltLR,tiltUD,tilt_change,tilt_difference,original_tilt,encoding_accuracy,encoding_avg_rt,encoding_n_trials,experimental_duration,filler_accuracy,filler_avg_rt,filler_n_trials,params,retrieval_accuracy,retrieval_avg_rt,retrieval_n_trials,total_bonus,total_payment,age,gender_other,latinx,session_id,study_id,subject_id,meta_new,meta_old,new_gender,new_identity,new_index,new_race,new_tiltLR,new_tiltUD,old_encoding_pair,old_encoding_type,old_gender,old_identity,old_index,old_original_index,old_original_tiltLR,old_original_tiltUD,old_race,old_tiltLR,old_tiltUD,stimuli,oddity_mb,typicals_mb,new_mb,old_mb,old_tilt_change,old_tilt_difference
13686,626f81c91a371c538416b231,Chrome,2.0,main_task,1.0,2.0,chris,"5/2/2022, 12:01:29 AM",hgdn3jchvl76kthdexth,0.0-2.0-0.0,pilot_sona_afc2,39,man,095,1.0,latinx,00C,D,2823,"['../stimuli/version1_gray_lm/id070_50L_U.png', '../stimuli/version1_gray_lm/id095_00C_D.png', '../stimuli/version1_gray_lm/id070_25R_C.png']",34973.0,0.0,2.0,1.0,encoding_practice,man,070,"[0, 2]",latinx,"['50L', '25R']","['U', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8834578394889832,"[0.8247036933898926, 0.8558252453804016]",,,,
13687,626f81cd1a371c538416b232,Chrome,2.0,main_task,1.0,2.0,chris,"5/2/2022, 12:01:33 AM",hgdn3jchvl76kthdexth,0.0-2.1-0.1,pilot_sona_afc2,39,man,095,1.0,latinx,25L,U,1885,"['../stimuli/version1_gray_lm/id096_25R_D.png', '../stimuli/version1_gray_lm/id095_25L_U.png', '../stimuli/version1_gray_lm/id096_00C_C.png']",39180.0,0.0,4.0,2.0,encoding_practice,man,096,"[0, 2]",latinx,"['25R', '00C']","['D', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8158042430877686,"[0.8536939024925232, 0.8785906434059143]",,,,
13688,626f81cf1a371c538416b233,Chrome,3.0,main_task,0.0,1.0,chris,"5/2/2022, 12:01:35 AM",hgdn3jchvl76kthdexth,0.0-2.2-0.2,pilot_sona_afc2,40,man,095,0.0,latinx,25L,D,1159,"['../stimuli/version1_gray_lm/id095_25L_D.png', '../stimuli/version1_gray_lm/id096_00C_C.png', '../stimuli/version1_gray_lm/id096_50R_U.png']",41134.0,0.0,6.0,3.0,encoding_practice,man,096,"[1, 2]",latinx,"['00C', '50R']","['C', 'U']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8532259464263916,"[0.8785906434059143, 0.8884777426719666]",,,,
13689,626f81d31a371c538416b234,Chrome,2.0,main_task,0.0,1.0,chris,"5/2/2022, 12:01:39 AM",hgdn3jchvl76kthdexth,0.0-2.3-0.3,pilot_sona_afc2,39,man,095,0.0,latinx,25R,U,3079,"['../stimuli/version1_gray_lm/id095_25R_U.png', '../stimuli/version1_gray_lm/id096_00C_D.png', '../stimuli/version1_gray_lm/id096_50L_C.png']",45240.0,0.0,8.0,4.0,encoding_practice,man,096,"[1, 2]",latinx,"['00C', '50L']","['D', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8428494930267334,"[0.8920971155166626, 0.8490014672279358]",,,,
13690,626f81d61a371c538416b235,Chrome,3.0,main_task,1.0,3.0,chris,"5/2/2022, 12:01:42 AM",hgdn3jchvl76kthdexth,0.0-2.4-0.4,pilot_sona_afc2,40,man,095,2.0,latinx,25R,C,1867,"['../stimuli/version1_gray_lm/id070_25L_D.png', '../stimuli/version1_gray_lm/id070_00C_U.png', '../stimuli/version1_gray_lm/id095_25R_C.png']",48021.0,0.0,10.0,5.0,encoding_practice,man,070,"[0, 1]",latinx,"['25L', '00C']","['D', 'U']",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8291288018226624,"[0.8671533465385437, 0.8339991569519043]",,,,
13691,626f81dd1a371c538416b236,Chrome,2.0,main_task,1.0,2.0,chris,"5/2/2022, 12:01:49 AM",hgdn3jchvl76kthdexth,0.0-4.0,pilot_sona_afc2,39,man,124,1.0,black,25L,D,3152,"['../stimuli/version1_gray_lm/id036_50R_C.png', '../stimuli/version1_gray_lm/id124_25L_D.png', '../stimuli/version1_gray_lm/id036_00C_U.png']",55105.0,0.0,13.0,1.0,encoding,man,036,"[0, 2]",black,"['50R', '00C']","['C', 'U']",,"{'muct_id': '431', 'lighting': 'x', 'race_guess': 'b', 'gender_guess': 'u', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'mouth', 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '47', 'lighting': 'q', 'race_guess': 'b', 'gender_guess': 'u', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8714814782142639,"[0.8134759068489075, 0.8151718974113464]",,,,
13692,626f81e01a371c538416b237,Chrome,2.0,main_task,1.0,2.0,chris,"5/2/2022, 12:01:52 AM",hgdn3jchvl76kthdexth,0.0-6.0,pilot_sona_afc2,39,man,117,1.0,black,25R,D,2347,"['../stimuli/version1_gray_lm/id058_50L_U.png', '../stimuli/version1_gray_lm/id117_25R_D.png', '../stimuli/version1_gray_lm/id058_00C_C.png']",58383.0,0.0,15.0,2.0,encoding,man,058,"[0, 2]",black,"['50L', '00C']","['U', 'C']",,"{'muct_id': '417', 'lighting': 'w', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': 'mouth', 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '84', 'lighting': 'q', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '2', 'quality_eyes': '2', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '3.0', 'notes': 'beard', 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8589047789573669,"[0.7713642716407776, 0.8411322832107544]",,,,
13693,626f81e31a371c538416b238,Chrome,3.0,main_task,1.0,3.0,chris,"5/2/2022, 12:01:55 AM",hgdn3jchvl76kthdexth,0.0-8.0,pilot_sona_afc2,40,woman,152,2.0,white,00C,D,1630,"['../stimuli/version1_gray_lm/id003_50L_U.png', '../stimuli/version1_gray_lm/id003_25R_C.png', '../stimuli/version1_gray_lm/id152_00C_D.png']",60596.0,0.0,17.0,3.0,encoding,woman,003,"[0, 1]",white,"['50L', '25R']","['U', 'C']",,"{'muct_id': '446', 'lighting': 'w', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '3', 'lighting': 's', 'race_guess': 'i', 'gender_guess': 'w', 'quality': '2', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '2', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'hair', 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8790462017059326,"[0.7647145986557007, 0.8329657912254333]",,,,
13694,626f81e51a371c538416b239,Chrome,1.0,main_task,1.0,1.0,chris,"5/2/2022, 12:01:57 AM",hgdn3jchvl76kthdexth,0.0-10.0,pilot_sona_afc2,37,woman,151,0.0,white,50L,U,2058,"['../stimuli/version1_gray_lm/id151_50L_U.png', '../stimuli/version1_gray_lm/id029_25R_D.png', '../stimuli/version1_gray_lm/id029_00C_C.png']",63153.0,0.0,19.0,4.0,encoding,woman,029,"[1, 2]",white,"['25R', '00C']","['D', 'C']",,"{'muct_id': '444', 'lighting': 'w', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '39', 'lighting': 'r', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings hair', 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8179031610488892,"[0.8330068588256836, 0.823814868927002]",,,,
13695,626f81e81a371c538416b23a,Chrome,2.0,main_task,1.0,2.0,chris,"5/2/2022, 12:02:00 AM",hgdn3jchvl76kthdexth,0.0-12.0,pilot_sona_afc2,39,man,116,1.0,white,00C,D,2177,"['../stimuli/version1_gray_lm/id032_25L_C.png', '../stimuli/version1_gray_lm/id116_00C_D.png', '../stimuli/version1_gray_lm/id032_25R_U.png']",65727.0,0.0,21.0,5.0,encoding,man,032,"[0, 2]",white,"['25L', '25R']","['C', 'U']",,"{'muct_id': '414', 'lighting': 'w', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '43', 'lighting': 'q', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8697882890701294,"[0.8447374701499939, 0.80922532081604]",,,,
