session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
626c2fb412de7e7552e64841,608718f0976b7049f13c330e,AWAITING REVIEW,2022-04-29 18:34:31.936000,2022-04-29 18:44:13.773000,581.837,49,469,1,100,,7FEF15D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
626c331f12e8b9284d369e42,62696bb2397d5c5496064e56,AWAITING REVIEW,2022-04-29 18:49:07.715000,2022-04-29 19:06:30.758000,1043.043,53,4,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,No
626c33cd5a6617d7aec5ee13,572535bba34b2a001306827c,AWAITING REVIEW,2022-04-29 18:52:01.773000,2022-04-29 19:04:02.873000,721.1,36,1105,2,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
626c33e2ccfce5fe7c6b791f,5f1282f95688f51e5d1cabf7,AWAITING REVIEW,2022-04-29 18:52:21.251000,2022-04-29 19:06:41.677000,860.426,21,540,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
626c350cd454b066ea5efb28,61f2aa52a09e72f23cbaf0f5,AWAITING REVIEW,2022-04-29 18:57:21.135000,2022-04-29 19:11:21.225000,840.09,20,85,0,100,,7FEF15D8,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
626c355f8bca81f59ecb94c2,5ed8c264d134c803a2670e4c,AWAITING REVIEW,2022-04-29 18:58:45.629000,2022-04-29 19:10:11.047000,685.418,24,376,0,100,,7FEF15D8,United States,United States,Full-Time,English,United States,Male,No
626c35d4bbafefafe9fe0645,614e480621f3b7c9992fe1ee,AWAITING REVIEW,2022-04-29 19:00:39.487000,2022-04-29 19:13:08.708000,749.221,25,529,0,100,,7FEF15D8,United States,United States,Full-Time,English,United States,Male,No
626c368efd482d1d8cb7763a,5d18251e19c4900016c01035,AWAITING REVIEW,2022-04-29 19:03:46.774000,2022-04-29 19:23:07.369000,1160.595,36,1721,2,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
626c4a99bd39b160b4c1a17f,60ff76d6c604411be3f09861,TIMED-OUT,2022-04-29 20:29:15.955000,,22806.248831,21,48,0,100,,,United States,United States,Due to start a new job within the next month,English,United States,Female,Yes
626c4f07ebd0736a3ad0eed5,60fd772e3e1dd6055c9c11bc,AWAITING REVIEW,2022-04-29 20:48:14.408000,2022-04-29 21:01:49.408000,815.0,33,367,2,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
626c4f14566295ca645f934e,60fd8c62b51f28ff3a3e38c8,RETURNED,2022-04-29 20:48:37.775000,,21644.452342,19,150,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626c4f853552bbaf5d87098a,6168225aece426c90ad49ff1,AWAITING REVIEW,2022-04-29 20:53:08.182000,2022-04-29 21:17:06.889000,1438.707,32,418,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,DATA EXPIRED
626c505ca4cc7e20674fb72a,62687de8f28c0982839ac311,AWAITING REVIEW,2022-04-29 20:53:54.250000,2022-04-29 21:13:44.697000,1190.447,52,3,0,100,,7FEF15D8,United States,United States,Part-Time,English,United States,Female,No
626c50cc088a461098c78b93,6151f34082c574452b8af3b9,AWAITING REVIEW,2022-04-29 20:55:43.733000,2022-04-29 21:07:04.851000,681.118,37,291,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
626c50ee9c0d22e1f3954789,610c874b2f6d232ff21a5666,AWAITING REVIEW,2022-04-29 20:56:18.288000,2022-04-29 21:08:33.177000,734.889,24,367,4,99,,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
626c542e6dcfe91e1a2f43e5,5db4b0ec43b4e1000ba773a4,AWAITING REVIEW,2022-04-29 21:10:09.225000,2022-04-29 21:20:31.780000,622.555,27,723,8,97,,7FEF15D8,United States,United States,DATA EXPIRED,Spanish,United States,Male,DATA EXPIRED
626c57af00c15afa3ba1fbd8,5f1b84872171f838a8a3cfa9,AWAITING REVIEW,2022-04-29 21:25:26.892000,2022-04-29 21:51:57.837000,1590.945,40,190,1,100,,7FEF15D8,United States,United States,Unemployed (and job seeking),English,United States,Male,DATA EXPIRED
626c59834b3c103f12f64209,5cf7738aee94190018d73574,AWAITING REVIEW,2022-04-29 21:32:53.549000,2022-04-29 21:47:53.572000,900.023,33,1143,3,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
