session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6258ee299e7dbfba3e7a85ea,5c9e89d950dde20001ce12b3,RETURNED,2022-04-15 04:12:00.040000,,6301.354439,30,1517,9,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6258efa7c0091b19e2d31b64,61130a12d87efcd777a39fe7,AWAITING REVIEW,2022-04-15 04:08:10.211000,2022-04-15 04:21:26.934000,796.723,23,182,0,100,,7A22DEC1,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6258f0bcee6d36aadf3594fb,6104d73b7cdac0a47a905f0d,AWAITING REVIEW,2022-04-15 04:12:57.613000,2022-04-15 04:37:21.772000,1464.159,22,462,2,100,,7A22DEC1,United States,United States,DATA EXPIRED,Spanish,United States,Female,Yes
6258f1b94fa6a14369e42afc,60fd13ae344414eba986c9ed,TIMED-OUT,2022-04-15 04:17:00.037000,,6001.392123,21,10,0,100,,,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6258f349e0b6be87fc007739,6101b725e1bb79ebc6733b16,AWAITING REVIEW,2022-04-15 04:23:41.589000,2022-04-15 04:40:43.545000,1021.956,23,314,3,99,,7A22DEC1,United States,United States,Unemployed (and job seeking),Spanish,United States,Female,No
6258f4003333833bf94eabcb,5caa183a9ac82a001631374e,AWAITING REVIEW,2022-04-15 04:26:43.650000,2022-04-15 04:41:47.366000,903.716,37,1115,5,100,,7A22DEC1,United States,United States,Full-Time,English,United States,Male,DATA EXPIRED
6258f42512d567bb8aee713b,607a7c3112ff1d9371319ed6,AWAITING REVIEW,2022-04-15 04:27:21.202000,2022-04-15 04:48:33.264000,1272.062,38,402,5,98,,7A22DEC1,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6258f551b1a8d83463a8e29a,5fc8eb5ae5390f2ac12e3eb1,AWAITING REVIEW,2022-04-15 04:32:32.252000,2022-04-15 04:47:45.250000,912.998,43,200,5,94,,7A22DEC1,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6258f5b767521364a9a01ad8,622ac616f7c72a6ab02d06b9,RETURNED,2022-04-15 04:34:21.858000,,4959.623179,73,45,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6258f645ef64afe5eb9ce66e,60fedf86ca61ce0772081b1c,AWAITING REVIEW,2022-04-15 04:36:26.670000,2022-04-15 04:48:14.973000,708.303,18,40,0,100,,7A22DEC1,United States,United States,Part-Time,English,United States,Female,Yes
6258f7bf79b56fd7893bd38f,615dfbb483f8480303655714,AWAITING REVIEW,2022-04-15 04:42:43.679000,2022-04-15 04:56:56.826000,853.147,39,922,3,100,,7A22DEC1,United States,United States,DATA EXPIRED,English,United States,Male,No
6258f83bf87635509fb06a6d,62349ba3242f5fcf28895e9d,AWAITING REVIEW,2022-04-15 04:44:49.150000,2022-04-15 04:59:15.768000,866.618,32,18,0,100,,NOCODE,United States,United States,Full-Time,English,United States,Male,No
625900a6746735d7d3b108bb,5e770f11a9d3b527c662aa23,AWAITING REVIEW,2022-04-15 05:20:54.117000,2022-04-15 05:50:03.049000,1748.932,42,830,0,100,,7A22DEC1,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
