session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62635625134255584de476dc,6101584a9a3eb70b8f67381a,RETURNED,2022-04-23 01:28:10.914000,,55172.748439,20,13,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6263574769771ec497af678a,5ff7a8b2c0a7854b6ce5c375,AWAITING REVIEW,2022-04-23 01:32:59.404000,2022-04-23 01:54:08.722000,1269.318,27,569,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,No
6263583da53131fc082276ad,600765ae65acb0264f4143f9,AWAITING REVIEW,2022-04-23 01:37:05.708000,2022-04-23 01:59:34.249000,1348.541,47,175,2,99,,7FEF15D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62635851a92cc565e302a7ee,5d3dfb9322ed840001722278,AWAITING REVIEW,2022-04-23 01:37:25.039000,2022-04-23 01:50:17.962000,772.923,21,152,0,100,,7FEF15D8,United States,United States,Other,English,United States,Female,Yes
62635863c6ba26583dc286d3,5adeb4e9f6b58c0001fa70aa,AWAITING REVIEW,2022-04-23 01:37:42.119000,2022-04-23 01:45:38.262000,476.143,23,1305,11,97,,7FEF15D8,United States,United States,Unemployed (and job seeking),English,United States,Male,No
62635998ad73fbe636c0e516,5e30a1c5a617e50a18a2ee99,AWAITING REVIEW,2022-04-23 01:43:22.127000,2022-04-23 02:10:43.151000,1641.024,22,625,0,100,,7FEF15D8,United States,United States,Other,English,United States,Female,Yes
626359b9f2eac91354dea759,5bd4ea1a4b4f9e0001130b84,AWAITING REVIEW,2022-04-23 01:43:25.443000,2022-04-23 01:57:57.116000,871.673,28,483,6,98,,7FEF15D8,United States,United States,Full-Time,English,United States,Female,Yes
62635c9fc02519e12fb0c2dd,614a683362e282f624146d19,RETURNED,2022-04-23 01:55:45.694000,,53518.069856,49,408,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626360b4f504b6e007fd95d4,5fe45e3b520dd11baee55be3,AWAITING REVIEW,2022-04-23 02:13:11.688000,2022-04-23 02:21:32.225000,500.537,24,233,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6263615bba5681bb660ac7cd,5edd7f96ca05b8a8b4eebeb4,AWAITING REVIEW,2022-04-23 02:16:10.974000,2022-04-23 02:27:23.429000,672.455,39,721,2,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
626361c5e9b75b2fbc955e11,6122f50a220401bebdd24952,AWAITING REVIEW,2022-04-23 02:17:51.374000,2022-04-23 02:27:25.716000,574.342,18,25,0,100,,7FEF15D8,United States,United States,Part-Time,English,United States,Male,Yes
626364792a96a3b3d4278270,5f35f43a1b8bd06299d3c32b,RETURNED,2022-04-23 02:29:16.934000,,51506.878271,21,63,2,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
