session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
625e178456f03cd939f5b01d,5dcdd7bf324a3d0a6c24b608,APPROVED,2022-04-19 01:59:36.546000,2022-04-19 02:15:48.476000,971.93,25,338,1,100,2022-04-19 03:05:05.749000,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
625e185c4919524159d3b71e,6111933f9eec6b3f262f01b7,APPROVED,2022-04-19 02:03:12.741000,2022-04-19 02:17:26.593000,853.852,19,36,0,100,2022-04-19 03:05:06.295000,7FEF15D8,United States,United States,Part-Time,English,United States,Female,Yes
625e1984c3127784914d9525,616766efa6666ba724ef75ca,APPROVED,2022-04-19 02:08:08.918000,2022-04-19 02:22:14.287000,845.369,28,306,0,100,2022-04-19 03:05:06.393000,7FEF15D8,United States,United States,Part-Time,English,United States,Female,Yes
625e1be008342651b66157df,6108b5cdaec99c6ecc60dddc,APPROVED,2022-04-19 02:18:11.013000,2022-04-19 02:30:24.788000,733.775,20,80,0,100,2022-04-19 03:05:06.503000,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
625e1caff28fc4475d1cce61,6150ad2e7810ffa81684d2cb,RETURNED,2022-04-19 02:21:39.131000,,2681.420916,39,621,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
625e1d7023646013b4de4a12,5b5a822e1ad8270001c4f28d,APPROVED,2022-04-19 02:24:59.317000,2022-04-19 02:42:58.485000,1079.168,41,2529,8,99,2022-04-19 03:05:05.860000,7FEF15D8,United States,United States,Unemployed (and job seeking),English,United States,Male,No
625e1db33d1cf77f02f95e4a,5a3bdd2c8d005a0001829f3e,APPROVED,2022-04-19 02:25:55.584000,2022-04-19 02:46:26.980000,1231.396,31,2289,1,100,2022-04-19 03:05:05.956000,7FEF15D8,United States,United States,Full-Time,English,United States,Male,No
625e1dc287acfb3a8b1c3495,5f4da0c092c4bb080b6c0ebb,APPROVED,2022-04-19 02:26:14.732000,2022-04-19 02:49:15.006000,1380.274,66,956,0,100,2022-04-19 03:05:06.612000,7FEF15D8,United States,United States,Part-Time,English,United States,Female,No
625e1de1f26177d1ced8ba58,5dbf2bee3237043d5e7f98d7,APPROVED,2022-04-19 02:26:44.566000,2022-04-19 02:39:44.221000,779.655,35,859,1,100,2022-04-19 03:05:06.071000,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,No
625e1e043013c00c33de3364,5ff7daa1dd81f74ce4e1810b,APPROVED,2022-04-19 02:27:19.186000,2022-04-19 02:43:50.303000,991.117,24,107,1,100,2022-04-19 03:05:06.204000,7FEF15D8,United States,United States,Full-Time,English,United States,Male,No
625e1e402d687bfe78aba550,6123d05604367cf900526841,APPROVED,2022-04-19 02:28:19.564000,2022-04-19 02:40:59.544000,759.98,26,213,1,100,2022-04-19 03:05:06.726000,7FEF15D8,United States,United States,Full-Time,English,United States,Female,No
