session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
62880feb9d200d33ffd2841e,5b2b9c81a9681800015872c2,AWAITING REVIEW,2022-05-20 22:02:33.358000,2022-05-20 22:19:38.511000,1025.153,24,140,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,Black,English,United States,Male,DATA EXPIRED
628816b2a8e190277172b4e0,6045442ad74c0a65efeca077,RETURNED,2022-05-20 22:31:18.658000,,22948.982154,33,521,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62882283ffb1204e2452c3be,608f45c4036fd5bbe8257c3d,AWAITING REVIEW,2022-05-20 23:27:25.271000,2022-05-20 23:42:49.848000,924.577,27,679,2,100,,7FEF15D8,United States,United States,Other,Black,English,United States,Male,Yes
628824169bf9c4efdf6f06e6,5c745295821a97001763fb1b,AWAITING REVIEW,2022-05-20 23:28:30.692000,2022-05-20 23:49:20.868000,1250.176,60,1609,12,98,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Female,No
628824398479c113605bd041,5c19fd69e567460001839e98,AWAITING REVIEW,2022-05-20 23:29:02.079000,2022-05-20 23:42:51.300000,829.221,68,1430,4,100,,7FEF15D8,United States,United States,DATA EXPIRED,Black,English,United States,Female,DATA EXPIRED
628826a65c065a4856c909ee,5bf408f7f35e0c000101693a,AWAITING REVIEW,2022-05-20 23:39:22.873000,2022-05-21 00:01:43.634000,1340.761,48,1598,6,99,,7FEF15D8,United States,United States,Unemployed (and job seeking),Black,English,United States,Female,No
628826d68c81e62695617190,6077a808b8d8534a901e5d78,AWAITING REVIEW,2022-05-20 23:40:10.739000,2022-05-21 00:02:07.805000,1317.066,28,665,0,100,,7FEF15D8,Ethiopia,United States,Unemployed (and job seeking),Black,Amharic,United States,Male,No
628827f1e8e15b615fee6eb0,5e7d11401ae8680ca60eed9e,RETURNED,2022-05-20 23:44:53.206000,,18534.54466,37,691,5,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62882a2883620550190e826b,5c330cefca23620001b262b1,AWAITING REVIEW,2022-05-20 23:54:18.967000,2022-05-21 00:13:08.784000,1129.817,57,2051,6,100,,7FEF15D8,United States,United States,DATA EXPIRED,Black,English,United States,Female,DATA EXPIRED
62882aaece3eca1aa6575283,60d105cd7e245d9c98c756ab,TIMED-OUT,2022-05-20 23:56:33.686000,,17834.099578,47,1343,12,97,,,Nigeria,United States,DATA EXPIRED,Black,English,United States,Male,DATA EXPIRED
62882b079d31d76427be4939,614d465852620924f85603c8,AWAITING REVIEW,2022-05-20 23:57:58.994000,2022-05-21 00:28:14.406000,1815.412,35,697,4,99,,7FEF15D8,United States,United States,DATA EXPIRED,Black,English,United States,Female,No
62882c0a70ffe2116f795e25,6266a888ce0c626836c91bc6,AWAITING REVIEW,2022-05-21 00:02:30.688000,2022-05-21 00:17:12.475000,881.787,48,178,1,100,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Female,No
62882e208a0631e69af1507b,5dd55652f30aa650f027e1c2,RETURNED,2022-05-21 00:11:15.152000,,16952.684925,28,1717,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62882ead25cc1afefd9ee59b,5a5479b4ac56240001537ffa,AWAITING REVIEW,2022-05-21 00:13:35.787000,2022-05-21 00:34:19.760000,1243.973,32,1498,14,97,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Female,No
62882ef02f1a8543caf57906,600e661d49a93a6ec48ebb45,AWAITING REVIEW,2022-05-21 00:14:40.795000,2022-05-21 00:59:40.743000,2699.948,31,1458,0,100,,7FEF15D8,United States,United States,Unemployed (and job seeking),Black,English,United States,Female,No
62882f4b138ceebf5f942c7a,59c843b646f72100019067ce,RETURNED,2022-05-21 00:16:14.729000,,16653.158248,50,2392,7,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62882fe1843a320de99ef931,6111f586fe99b25bb899861a,AWAITING REVIEW,2022-05-21 00:18:46.331000,2022-05-21 00:33:11.671000,865.34,22,131,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,Black,English,United States,Female,DATA EXPIRED
62882ff5b17b7c4174ff29c6,55b0029bfdf99b5c00619440,AWAITING REVIEW,2022-05-21 00:19:09.280000,2022-05-21 00:41:33.668000,1344.388,37,439,1,100,,7FEF15D8,United States,United States,Other,Black,English,United States,Female,DATA EXPIRED
628830edf0a19bde9f2e1bea,5ad38729dfe710000183c244,AWAITING REVIEW,2022-05-21 00:23:12.658000,2022-05-21 00:33:01.601000,588.943,42,1881,7,99,,7FEF15D8,United States,United States,DATA EXPIRED,Black,English,United States,Female,No
6288312612e46cb2cd56c888,6115902def1430be1b35a3e1,AWAITING REVIEW,2022-05-21 00:24:10.129000,2022-05-21 00:46:17.426000,1327.297,,834,7,98,,7FEF15D8,DATA EXPIRED,United States,DATA EXPIRED,Black,DATA EXPIRED,United States,Female,DATA EXPIRED
62883274e28eb95eeb3ad094,5e2c3fd765b67d262cdd4a10,AWAITING REVIEW,2022-05-21 00:29:48.219000,2022-05-21 00:40:05.755000,617.536,28,572,4,100,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Female,No
6288341968ae6a0be853c907,5d96b904d3d0ac0017ddaeae,AWAITING REVIEW,2022-05-21 00:36:45.316000,2022-05-21 00:51:26.529000,881.213,28,741,4,99,,7FEF15D8,United States,United States,Part-Time,Black,English,United States,Male,No
6288352db17b7c4174ff29ee,55b1add5fdf99b6731f04c5a,AWAITING REVIEW,2022-05-21 00:41:20.287000,2022-05-21 01:10:41.482000,1761.195,42,2406,3,100,,7FEF15D8,United States,United States,DATA EXPIRED,Black,English,United States,Female,DATA EXPIRED
628835c66d96cce07f439794,5f8b30e56acaf60de565ef4f,AWAITING REVIEW,2022-05-21 00:43:55.695000,2022-05-21 00:57:37.013000,821.318,26,475,3,99,,NOCODE,United States,United States,DATA EXPIRED,Black,English,United States,Female,DATA EXPIRED
628835e378dc35f3c8c59e5f,5fc8023072315c11f1de9057,AWAITING REVIEW,2022-05-21 00:44:49.165000,2022-05-21 01:00:38.930000,949.765,40,762,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,Black,English,United States,Male,DATA EXPIRED
628835edab85d7b23eb0ad8d,5deb3ffdf375c625fa83bac7,AWAITING REVIEW,2022-05-21 00:44:29.496000,2022-05-21 01:08:41.170000,1451.674,24,1633,11,99,,7FEF15D8,United States,United States,DATA EXPIRED,Black,English,United States,Male,Yes
