session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
62880de62ac0131b67d30fa0,6104271b0eca200c3a28011f,AWAITING REVIEW,2022-05-20 21:53:57.516000,2022-05-20 22:08:01.922000,844.406,24,181,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
62880e0daf7b22bddb3463db,6018360036a61b046a344369,AWAITING REVIEW,2022-05-20 21:54:28.561000,2022-05-20 22:04:10.243000,581.682,23,114,0,100,,7FEF15D8,United States,United States,Full-Time,White,English,United States,Female,No
62880e8c49dd847d066dfd53,627f448165ed9095fd43cfd1,AWAITING REVIEW,2022-05-20 21:56:46.162000,2022-05-20 22:10:16.943000,810.781,48,0,0,100,,7FEF15D8,DATA EXPIRED,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
62880ea31861a14a4ae25f59,5dddd95d238a91d4fa1a8cf6,RETURNED,2022-05-20 21:56:55.627000,,25019.128971,30,1010,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62880f3885c9460821b00b04,5eb2220339aaed38706d2ed5,AWAITING REVIEW,2022-05-20 21:59:24.332000,2022-05-20 22:15:04.475000,940.143,66,646,1,100,,7FEF15D8,Germany,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
6288113d55582ae5cb276d6c,5d58471ffe8768001a31d33a,AWAITING REVIEW,2022-05-20 22:08:02.672000,2022-05-20 22:21:15.058000,792.386,52,880,3,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
62881204f82f523f4b9bc405,61bb38a940db417c1a138cd1,AWAITING REVIEW,2022-05-20 22:11:17.784000,2022-05-20 22:21:39.399000,621.615,30,175,0,100,,7FEF15D8,United States,United States,Full-Time,White,English,United States,Male,No
628812ebaa214667a9a1a915,6103a8f4f20ce4e0873a7b22,AWAITING REVIEW,2022-05-20 22:15:10.058000,2022-05-20 22:29:10.485000,840.427,23,172,0,100,,7FEF15D8,United States,United States,Full-Time,White,English,United States,Female,No
6288150d2fc2799fb7c3ad69,61602d371599d54a4e61545c,AWAITING REVIEW,2022-05-20 22:24:16.948000,2022-05-20 22:35:01.050000,644.102,36,821,4,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
628816af07f832d32fa73462,60fdde2a560c895ce04b3bef,AWAITING REVIEW,2022-05-20 22:31:21.618000,2022-05-20 22:41:28.172000,606.554,20,537,5,98,,NOCODE,United States,United States,Part-Time,White,English,United States,Female,Yes
6288173aff26bdc6549fd370,627eaf9288e6cc4f9c645578,AWAITING REVIEW,2022-05-20 22:33:36.106000,2022-05-20 22:48:36.808000,900.702,22,7,0,100,,7FEF15D8,United States,United States,Part-Time,White,English,United States,Female,No
6288178a9fe630c4503e1ee3,5dde8961a4aa26f2f73d785b,AWAITING REVIEW,2022-05-20 22:34:54.761000,2022-05-20 22:48:12.973000,798.212,54,1310,1,100,,7FEF15D8,United States,United States,Full-Time,White,English,United States,Female,No
6288180786d1f661d0da26f1,6202986aef1cb18a1337c2b1,AWAITING REVIEW,2022-05-20 22:37:05.837000,2022-05-20 22:50:38.104000,812.267,34,21,0,100,,7FEF15D8,DATA EXPIRED,United States,Full-Time,White,English,United States,Male,DATA EXPIRED
62881886e7a0fa02cca6cbda,61311ced4c5db76e4e0c23b3,AWAITING REVIEW,2022-05-20 22:39:04.991000,2022-05-20 22:50:09.561000,664.57,21,410,1,100,,7FEF15D8,United States,United States,Part-Time,White,English,United States,Female,No
62881973978c2b6d662aef60,600b867e297f072364af7a99,AWAITING REVIEW,2022-05-20 22:43:02.887000,2022-05-20 22:58:03.888000,901.001,36,400,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
62881988052d03044977cb80,5e641e41de78961a95ffc6f8,AWAITING REVIEW,2022-05-20 22:43:21.925000,2022-05-20 22:55:14.378000,712.453,20,830,4,99,,7FEF15D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,Yes
6288198f5cde87d620bb0a5d,61735e55ab7dfe9f9e48cb87,AWAITING REVIEW,2022-05-20 22:43:30.169000,2022-05-20 22:54:02.143000,631.974,26,621,4,99,,7FEF15D8,United States,United States,Full-Time,White,English,United States,Female,No
628819b453e901507aba609c,5fe3f539dd8cf10e7d545231,AWAITING REVIEW,2022-05-20 22:44:11.975000,2022-05-20 23:03:29.354000,1157.379,31,948,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,Spanish,United States,Male,No
62881a04e43276dee8c52e29,5c7db851461e90001c7a06ce,AWAITING REVIEW,2022-05-20 22:45:28.684000,2022-05-20 22:59:23.814000,835.13,31,395,4,99,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,No
62881ad92a1dbae6d1cbb189,628795edea38f8a3b2ee9e60,AWAITING REVIEW,2022-05-20 22:48:59.426000,2022-05-20 23:02:43.612000,824.186,52,6,0,100,,7FEF15D8,United States,United States,Full-Time,White,English,United States,Female,No
