,_id,browser,choice,collection,correct,correct_response,database,datetime,experiment_id,internal_node_id,iteration,key_press,oddity_gender,oddity_identity,oddity_index,oddity_race,oddity_tiltLR,oddity_tiltUD,rt,stimulus,time_elapsed,timed_out,trial_index,trial_number,trial_type,typicals_gender,typicals_identity,typicals_indices,typicals_race,typicals_tiltsLR,typicals_tiltsUD,practice_threshold_met,oddity_meta,typicals_meta,button_pressed,last_trial_type,prediction,choice_category,choice_object,oddity_category,oddity_name,oddity_type,stimulus_response_map,typical_category,typical_indices,typical_name,variation_level,encoding_pair,encoding_type,gender,identity,meta,original_index,original_tiltLR,original_tiltUD,race,response,retrieval_condition,tiltLR,tiltUD,tilt_change,tilt_difference,original_tilt,encoding_accuracy,encoding_avg_rt,encoding_n_trials,experimental_duration,filler_accuracy,filler_avg_rt,filler_n_trials,params,retrieval_accuracy,retrieval_avg_rt,retrieval_n_trials,total_bonus,total_payment,age,gender_other,latinx,session_id,study_id,subject_id,meta_new,meta_old,new_gender,new_identity,new_index,new_race,new_tiltLR,new_tiltUD,old_encoding_pair,old_encoding_type,old_gender,old_identity,old_index,old_original_index,old_original_tiltLR,old_original_tiltUD,old_race,old_tiltLR,old_tiltUD,stimuli
9148,6267074906b19921fe99d458,Chrome,1.0,main_task,1.0,1.0,chris,"4/25/2022, 2:40:42 PM",vqy1ync5e8534kcvchph,0.0-2.0-0.0,pilot_prolific_afc,37,man,107,0.0,latinx,50L,D,2905.0,"['../stimuli/version1_gray_lm/id107_50L_D.png', '../stimuli/version1_gray_lm/id108_00C_C.png', '../stimuli/version1_gray_lm/id108_25R_U.png']",235389.0,0.0,2.0,1.0,encoding_practice,woman,108,"[1, 2]",latinx,"['00C', '25R']","['C', 'U']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626705edcc1ef7741765872d,6266e20a583caa8581feb913,60242bdb4097360ad464addc,,,,,,,,,,,,,,,,,,,,
9149,6267074f06b19921fe99d459,Chrome,1.0,main_task,1.0,1.0,chris,"4/25/2022, 2:40:47 PM",vqy1ync5e8534kcvchph,0.0-2.1-0.1,pilot_prolific_afc,37,man,107,0.0,latinx,00C,D,2543.0,"['../stimuli/version1_gray_lm/id107_00C_D.png', '../stimuli/version1_gray_lm/id108_50R_U.png', '../stimuli/version1_gray_lm/id108_25L_C.png']",241167.0,0.0,4.0,2.0,encoding_practice,woman,108,"[1, 2]",latinx,"['50R', '25L']","['U', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626705edcc1ef7741765872d,6266e20a583caa8581feb913,60242bdb4097360ad464addc,,,,,,,,,,,,,,,,,,,,
9150,6267075206b19921fe99d45a,Chrome,1.0,main_task,1.0,1.0,chris,"4/25/2022, 2:40:50 PM",vqy1ync5e8534kcvchph,0.0-2.2-0.2,pilot_prolific_afc,37,man,107,0.0,latinx,50L,U,1775.0,"['../stimuli/version1_gray_lm/id107_50L_U.png', '../stimuli/version1_gray_lm/id108_00C_C.png', '../stimuli/version1_gray_lm/id108_25R_D.png']",244171.0,0.0,6.0,3.0,encoding_practice,woman,108,"[1, 2]",latinx,"['00C', '25R']","['C', 'D']",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626705edcc1ef7741765872d,6266e20a583caa8581feb913,60242bdb4097360ad464addc,,,,,,,,,,,,,,,,,,,,
9151,6267076006b19921fe99d45b,Chrome,2.0,main_task,1.0,2.0,chris,"4/25/2022, 2:41:04 PM",vqy1ync5e8534kcvchph,0.0-4.0,pilot_prolific_afc,39,woman,101,1.0,white,50R,U,3670.0,"['../stimuli/version1_gray_lm/id013_00C_D.png', '../stimuli/version1_gray_lm/id101_50R_U.png', '../stimuli/version1_gray_lm/id013_50L_C.png']",257567.0,0.0,9.0,1.0,encoding,woman,013,"[0, 2]",white,"['00C', '50L']","['D', 'C']",,"{'muct_id': '281', 'lighting': 't', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '14', 'lighting': 'q', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626705edcc1ef7741765872d,6266e20a583caa8581feb913,60242bdb4097360ad464addc,,,,,,,,,,,,,,,,,,,,
9152,6267076806b19921fe99d45c,Chrome,3.0,main_task,1.0,3.0,chris,"4/25/2022, 2:41:12 PM",vqy1ync5e8534kcvchph,0.0-6.0,pilot_prolific_afc,40,woman,103,2.0,black,25R,D,6424.0,"['../stimuli/version1_gray_lm/id142_00C_U.png', '../stimuli/version1_gray_lm/id142_25L_C.png', '../stimuli/version1_gray_lm/id103_25R_D.png']",265633.0,0.0,11.0,2.0,encoding,woman,142,"[0, 1]",black,"['00C', '25L']","['U', 'C']",,"{'muct_id': '285', 'lighting': 'v', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'black', 'gender_common': 'woman'}","{'muct_id': '87', 'lighting': 'r', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings hair', 'race_common': 'black', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626705edcc1ef7741765872d,6266e20a583caa8581feb913,60242bdb4097360ad464addc,,,,,,,,,,,,,,,,,,,,
9153,6267076e06b19921fe99d45d,Chrome,2.0,main_task,1.0,2.0,chris,"4/25/2022, 2:41:18 PM",vqy1ync5e8534kcvchph,0.0-8.0,pilot_prolific_afc,39,man,105,1.0,black,00C,D,4472.0,"['../stimuli/version1_gray_lm/id090_25R_U.png', '../stimuli/version1_gray_lm/id105_00C_D.png', '../stimuli/version1_gray_lm/id090_50L_C.png']",271815.0,0.0,13.0,3.0,encoding,man,090,"[0, 2]",black,"['25R', '50L']","['U', 'C']",,"{'muct_id': '290', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '259', 'lighting': 'v', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626705edcc1ef7741765872d,6266e20a583caa8581feb913,60242bdb4097360ad464addc,,,,,,,,,,,,,,,,,,,,
9154,6267077606b19921fe99d45e,Chrome,3.0,main_task,0.0,1.0,chris,"4/25/2022, 2:41:26 PM",vqy1ync5e8534kcvchph,0.0-10.0,pilot_prolific_afc,40,man,100,0.0,white,50R,C,6600.0,"['../stimuli/version1_gray_lm/id100_50R_C.png', '../stimuli/version1_gray_lm/id092_00C_U.png', '../stimuli/version1_gray_lm/id092_25L_D.png']",279464.0,0.0,15.0,4.0,encoding,man,092,"[1, 2]",white,"['00C', '25L']","['U', 'D']",,"{'muct_id': '280', 'lighting': 'u', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '261', 'lighting': 'v', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '2', 'quality_eyes': '2', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626705edcc1ef7741765872d,6266e20a583caa8581feb913,60242bdb4097360ad464addc,,,,,,,,,,,,,,,,,,,,
9155,6267077a06b19921fe99d45f,Chrome,1.0,main_task,1.0,1.0,chris,"4/25/2022, 2:41:30 PM",vqy1ync5e8534kcvchph,0.0-12.0,pilot_prolific_afc,37,man,104,0.0,white,00C,C,3376.0,"['../stimuli/version1_gray_lm/id104_00C_C.png', '../stimuli/version1_gray_lm/id012_50R_U.png', '../stimuli/version1_gray_lm/id012_25L_D.png']",283968.0,0.0,17.0,5.0,encoding,man,012,"[1, 2]",white,"['50R', '25L']","['U', 'D']",,"{'muct_id': '287', 'lighting': 't', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '12', 'lighting': 'q', 'race_guess': 'i', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626705edcc1ef7741765872d,6266e20a583caa8581feb913,60242bdb4097360ad464addc,,,,,,,,,,,,,,,,,,,,
9156,6267077f06b19921fe99d460,Chrome,3.0,main_task,1.0,3.0,chris,"4/25/2022, 2:41:35 PM",vqy1ync5e8534kcvchph,0.0-14.0,pilot_prolific_afc,40,man,112,2.0,black,50L,U,3394.0,"['../stimuli/version1_gray_lm/id065_00C_C.png', '../stimuli/version1_gray_lm/id065_25R_D.png', '../stimuli/version1_gray_lm/id112_50L_U.png']",289094.0,0.0,19.0,6.0,encoding,man,065,"[0, 1]",black,"['00C', '25R']","['C', 'D']",,"{'muct_id': '406', 'lighting': 'w', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '206', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626705edcc1ef7741765872d,6266e20a583caa8581feb913,60242bdb4097360ad464addc,,,,,,,,,,,,,,,,,,,,
9157,6267078506b19921fe99d461,Chrome,2.0,main_task,1.0,2.0,chris,"4/25/2022, 2:41:41 PM",vqy1ync5e8534kcvchph,0.0-16.0,pilot_prolific_afc,39,woman,102,1.0,white,00C,U,4703.0,"['../stimuli/version1_gray_lm/id155_50L_C.png', '../stimuli/version1_gray_lm/id102_00C_U.png', '../stimuli/version1_gray_lm/id155_25R_D.png']",294807.0,0.0,21.0,7.0,encoding,woman,155,"[0, 2]",white,"['50L', '25R']","['C', 'D']",,"{'muct_id': '283', 'lighting': 't', 'race_guess': 'i', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'pottu', 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '615', 'lighting': 'z', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626705edcc1ef7741765872d,6266e20a583caa8581feb913,60242bdb4097360ad464addc,,,,,,,,,,,,,,,,,,,,
