,_id,browser,choice,collection,correct,correct_response,database,datetime,experiment_id,internal_node_id,iteration,key_press,oddity_gender,oddity_identity,oddity_index,oddity_mb,oddity_race,oddity_tiltLR,oddity_tiltUD,rt,stimulus,time_elapsed,timed_out,trial_index,trial_number,trial_type,typicals_gender,typicals_identity,typicals_indices,typicals_mb,typicals_race,typicals_tiltsLR,typicals_tiltsUD,practice_threshold_met,oddity_meta,typicals_meta,button_pressed,last_trial_type,prediction,choice_category,choice_object,oddity_category,oddity_name,oddity_type,stimulus_response_map,typical_category,typical_indices,typical_name,variation_level,meta_new,meta_old,new_gender,new_identity,new_index,new_mb,new_race,new_tiltLR,new_tiltUD,old_encoding_pair,old_encoding_type,old_gender,old_identity,old_index,old_mb,old_original_index,old_original_tiltLR,old_original_tiltUD,old_race,old_tiltLR,old_tiltUD,response,stimuli,tilt_change,tilt_difference,encoding_accuracy,encoding_avg_rt,encoding_n_trials,experimental_duration,filler_accuracy,filler_avg_rt,filler_n_trials,params,retrieval_accuracy,retrieval_avg_rt,retrieval_n_trials,total_bonus,total_payment,age,gender,gender_other,latinx,race,session_id,study_id,subject_id,slider_start
0,627597201a371c538416d1d4,Chrome,1.0,main_task_2,1.0,1.0,chris,"5/6/2022, 2:46:07 PM",cwrleqd2sft9acsfwuho,0.0-2.0-0.0,pilot_sona_afc2,37.0,man,038,0.0,0.8666332960128784,latinx,25L,D,3000.0,"['../stimuli/version1_gray_lm/id038_25L_D.png', '../stimuli/version1_gray_lm/id110_00C_C.png', '../stimuli/version1_gray_lm/id110_50R_U.png']",32000.0,0.0,2.0,1.0,encoding_practice,woman,110,"[1, 2]","[0.8150807619094849, 0.8715043663978577]",latinx,"['00C', '50R']","['C', 'U']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,627597241a371c538416d1d5,Chrome,3.0,main_task_2,1.0,3.0,chris,"5/6/2022, 2:46:11 PM",cwrleqd2sft9acsfwuho,0.0-2.1-0.1,pilot_sona_afc2,40.0,man,038,2.0,0.8014088273048401,latinx,50L,C,1759.0,"['../stimuli/version1_gray_lm/id110_00C_U.png', '../stimuli/version1_gray_lm/id110_50R_D.png', '../stimuli/version1_gray_lm/id038_50L_C.png']",36027.0,0.0,4.0,2.0,encoding_practice,woman,110,"[0, 1]","[0.899799644947052, 0.8334890604019165]",latinx,"['00C', '50R']","['U', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,627597261a371c538416d1d6,Chrome,3.0,main_task_2,1.0,3.0,chris,"5/6/2022, 2:46:14 PM",cwrleqd2sft9acsfwuho,0.0-2.2-0.2,pilot_sona_afc2,40.0,woman,110,2.0,0.899799644947052,latinx,00C,U,1885.0,"['../stimuli/version1_gray_lm/id008_25L_D.png', '../stimuli/version1_gray_lm/id008_50R_C.png', '../stimuli/version1_gray_lm/id110_00C_U.png']",38522.0,0.0,6.0,3.0,encoding_practice,man,008,"[0, 1]","[0.8497543931007385, 0.8650676012039185]",latinx,"['25L', '50R']","['D', 'C']",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6275972d1a371c538416d1d7,Chrome,2.0,main_task_2,1.0,2.0,chris,"5/6/2022, 2:46:20 PM",cwrleqd2sft9acsfwuho,0.0-4.0,pilot_sona_afc2,39.0,woman,007,1.0,0.8601640462875366,white,00C,D,2623.0,"['../stimuli/version1_gray_lm/id152_50R_C.png', '../stimuli/version1_gray_lm/id007_00C_D.png', '../stimuli/version1_gray_lm/id152_25L_U.png']",45242.0,0.0,9.0,1.0,encoding,woman,152,"[0, 2]","[0.8014732003211975, 0.8561945557594299]",white,"['50R', '25L']","['C', 'U']",,"{'muct_id': '7', 'lighting': 's', 'race_guess': 'u', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '446', 'lighting': 'w', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,627597311a371c538416d1d8,Chrome,1.0,main_task_2,0.0,3.0,chris,"5/6/2022, 2:46:24 PM",cwrleqd2sft9acsfwuho,0.0-6.0,pilot_sona_afc2,37.0,woman,127,2.0,0.8330003023147583,black,25L,D,2482.0,"['../stimuli/version1_gray_lm/id126_50R_C.png', '../stimuli/version1_gray_lm/id126_00C_U.png', '../stimuli/version1_gray_lm/id127_25L_D.png']",48673.0,0.0,11.0,2.0,encoding,woman,126,"[0, 1]","[0.8118584156036377, 0.8040019869804382]",black,"['50R', '00C']","['C', 'U']",,"{'muct_id': '435', 'lighting': 'x', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'bandana', 'race_common': 'black', 'gender_common': 'woman'}","{'muct_id': '434', 'lighting': 'w', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'black', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,627597341a371c538416d1d9,Chrome,3.0,main_task_2,1.0,3.0,chris,"5/6/2022, 2:46:27 PM",cwrleqd2sft9acsfwuho,0.0-8.0,pilot_sona_afc2,40.0,man,121,2.0,0.8360601663589478,black,00C,C,2439.0,"['../stimuli/version1_gray_lm/id128_50L_D.png', '../stimuli/version1_gray_lm/id128_50R_U.png', '../stimuli/version1_gray_lm/id121_00C_C.png']",51735.0,0.0,13.0,3.0,encoding,man,128,"[0, 1]","[0.8178924322128296, 0.8728622794151306]",black,"['50L', '50R']","['D', 'U']",,"{'muct_id': '423', 'lighting': 'w', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '436', 'lighting': 'w', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '3.0', 'notes': 'beard', 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,627597381a371c538416d1da,Chrome,1.0,main_task_2,1.0,1.0,chris,"5/6/2022, 2:46:31 PM",cwrleqd2sft9acsfwuho,0.0-10.0,pilot_sona_afc2,37.0,man,034,0.0,0.8324532508850098,white,00C,C,3359.0,"['../stimuli/version1_gray_lm/id034_00C_C.png', '../stimuli/version1_gray_lm/id037_50R_D.png', '../stimuli/version1_gray_lm/id037_50L_U.png']",55804.0,0.0,15.0,4.0,encoding,man,037,"[1, 2]","[0.8234284520149231, 0.7935327291488647]",white,"['50R', '50L']","['D', 'U']",,"{'muct_id': '45', 'lighting': 'q', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '48', 'lighting': 'w', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6275973a1a371c538416d1db,Chrome,3.0,main_task_2,1.0,3.0,chris,"5/6/2022, 2:46:34 PM",cwrleqd2sft9acsfwuho,0.0-12.0,pilot_sona_afc2,40.0,woman,059,2.0,0.8079833984375,black,50R,D,2155.0,"['../stimuli/version1_gray_lm/id068_00C_C.png', '../stimuli/version1_gray_lm/id068_25L_U.png', '../stimuli/version1_gray_lm/id059_50R_D.png']",58569.0,0.0,17.0,5.0,encoding,woman,068,"[0, 1]","[0.8297914862632751, 0.8137908577919006]",black,"['00C', '25L']","['C', 'U']",,"{'muct_id': '86', 'lighting': 'q', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'black', 'gender_common': 'woman'}","{'muct_id': '213', 'lighting': 'u', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'black', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6275973f1a371c538416d1dc,Chrome,1.0,main_task_2,0.0,3.0,chris,"5/6/2022, 2:46:38 PM",cwrleqd2sft9acsfwuho,0.0-14.0,pilot_sona_afc2,37.0,man,053,2.0,0.8159154057502747,white,25R,D,3232.0,"['../stimuli/version1_gray_lm/id043_25L_U.png', '../stimuli/version1_gray_lm/id043_00C_C.png', '../stimuli/version1_gray_lm/id053_25R_D.png']",62750.0,0.0,19.0,6.0,encoding,man,043,"[0, 1]","[0.8465712070465088, 0.8674020767211914]",white,"['25L', '00C']","['U', 'C']",,"{'muct_id': '79', 'lighting': 'r', 'race_guess': 'i', 'gender_guess': 'm', 'quality': '2', 'quality_eyes': '2', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '2', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '58', 'lighting': 'q', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,627597421a371c538416d1dd,Chrome,3.0,main_task_2,1.0,3.0,chris,"5/6/2022, 2:46:41 PM",cwrleqd2sft9acsfwuho,0.0-16.0,pilot_sona_afc2,40.0,man,033,2.0,0.8084548115730286,black,25L,U,2349.0,"['../stimuli/version1_gray_lm/id056_00C_D.png', '../stimuli/version1_gray_lm/id056_50R_C.png', '../stimuli/version1_gray_lm/id033_25L_U.png']",65884.0,0.0,21.0,7.0,encoding,man,056,"[0, 1]","[0.8718909025192261, 0.7972558736801147]",black,"['00C', '50R']","['D', 'C']",,"{'muct_id': '44', 'lighting': 'q', 'race_guess': 'u', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '82', 'lighting': 'q', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
