,_id,browser,choice,collection,correct,correct_response,database,datetime,experiment_id,internal_node_id,iteration,key_press,oddity_gender,oddity_identity,oddity_index,oddity_race,oddity_tiltLR,oddity_tiltUD,rt,stimulus,time_elapsed,timed_out,trial_index,trial_number,trial_type,typicals_gender,typicals_identity,typicals_indices,typicals_race,typicals_tiltsLR,typicals_tiltsUD,practice_threshold_met,oddity_meta,typicals_meta,button_pressed,last_trial_type,prediction,choice_category,choice_object,oddity_category,oddity_name,oddity_type,stimulus_response_map,typical_category,typical_indices,typical_name,variation_level,encoding_pair,encoding_type,gender,identity,meta,original_index,original_tiltLR,original_tiltUD,race,response,retrieval_condition,tiltLR,tiltUD,tilt_change,tilt_difference,original_tilt,encoding_accuracy,encoding_avg_rt,encoding_n_trials,experimental_duration,filler_accuracy,filler_avg_rt,filler_n_trials,params,retrieval_accuracy,retrieval_avg_rt,retrieval_n_trials,total_bonus,total_payment,age,gender_other,latinx,session_id,study_id,subject_id,meta_new,meta_old,new_gender,new_identity,new_index,new_race,new_tiltLR,new_tiltUD,old_encoding_pair,old_encoding_type,old_gender,old_identity,old_index,old_original_index,old_original_tiltLR,old_original_tiltUD,old_race,old_tiltLR,old_tiltUD,stimuli
8211,6266e4f506b19921fe99d0af,Chrome,1.0,main_task,1.0,1.0,chris,"4/25/2022, 11:14:13 AM",5a1s60o6zgtxfmr92myb,0.0-2.0-0.0,pilot_prolific_20_trials,37,woman,106,0.0,latinx,00C,D,3229.0,"['../stimuli/version1_gray_lm/id106_00C_D.png', '../stimuli/version1_gray_lm/id107_50R_C.png', '../stimuli/version1_gray_lm/id107_50L_U.png']",47312.0,0.0,2.0,1.0,encoding_practice,man,107,"[1, 2]",latinx,"['50R', '50L']","['C', 'U']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266e4b905dee01448e38f74,6266e20a583caa8581feb913,5dda51f040460e9a0f5f6a70,,,,,,,,,,,,,,,,,,,,
8212,6266e4f906b19921fe99d0b0,Chrome,1.0,main_task,1.0,1.0,chris,"4/25/2022, 11:14:17 AM",5a1s60o6zgtxfmr92myb,0.0-2.1-0.1,pilot_prolific_20_trials,37,woman,106,0.0,latinx,00C,D,1630.0,"['../stimuli/version1_gray_lm/id106_00C_D.png', '../stimuli/version1_gray_lm/id108_50L_U.png', '../stimuli/version1_gray_lm/id108_50R_C.png']",51270.0,0.0,4.0,2.0,encoding_practice,woman,108,"[1, 2]",latinx,"['50L', '50R']","['U', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266e4b905dee01448e38f74,6266e20a583caa8581feb913,5dda51f040460e9a0f5f6a70,,,,,,,,,,,,,,,,,,,,
8213,6266e4fc06b19921fe99d0b1,Chrome,2.0,main_task,0.0,3.0,chris,"4/25/2022, 11:14:19 AM",5a1s60o6zgtxfmr92myb,0.0-2.2-0.2,pilot_prolific_20_trials,39,man,107,2.0,latinx,00C,U,1881.0,"['../stimuli/version1_gray_lm/id106_50R_C.png', '../stimuli/version1_gray_lm/id106_25L_D.png', '../stimuli/version1_gray_lm/id107_00C_U.png']",54093.0,0.0,6.0,3.0,encoding_practice,woman,106,"[0, 1]",latinx,"['50R', '25L']","['C', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266e4b905dee01448e38f74,6266e20a583caa8581feb913,5dda51f040460e9a0f5f6a70,,,,,,,,,,,,,,,,,,,,
8214,6266e4fd06b19921fe99d0b2,Chrome,1.0,main_task,1.0,1.0,chris,"4/25/2022, 11:14:21 AM",5a1s60o6zgtxfmr92myb,0.0-2.3-0.3,pilot_prolific_20_trials,37,woman,106,0.0,latinx,00C,C,889.0,"['../stimuli/version1_gray_lm/id106_00C_C.png', '../stimuli/version1_gray_lm/id107_25R_D.png', '../stimuli/version1_gray_lm/id107_50L_U.png']",55959.0,0.0,8.0,4.0,encoding_practice,man,107,"[1, 2]",latinx,"['25R', '50L']","['D', 'U']",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266e4b905dee01448e38f74,6266e20a583caa8581feb913,5dda51f040460e9a0f5f6a70,,,,,,,,,,,,,,,,,,,,
8215,6266e50706b19921fe99d0b3,Chrome,2.0,main_task,1.0,2.0,chris,"4/25/2022, 11:14:31 AM",5a1s60o6zgtxfmr92myb,0.0-4.0,pilot_prolific_20_trials,39,man,105,1.0,black,00C,D,2688.0,"['../stimuli/version1_gray_lm/id040_50L_C.png', '../stimuli/version1_gray_lm/id105_00C_D.png', '../stimuli/version1_gray_lm/id040_25R_U.png']",65567.0,0.0,11.0,1.0,encoding,man,040,"[0, 2]",black,"['50L', '25R']","['C', 'U']",,"{'muct_id': '290', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '55', 'lighting': 'r', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '3.0', 'notes': 'beard', 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266e4b905dee01448e38f74,6266e20a583caa8581feb913,5dda51f040460e9a0f5f6a70,,,,,,,,,,,,,,,,,,,,
8216,6266e50a06b19921fe99d0b4,Chrome,3.0,main_task,1.0,3.0,chris,"4/25/2022, 11:14:34 AM",5a1s60o6zgtxfmr92myb,0.0-6.0,pilot_prolific_20_trials,40,woman,101,2.0,white,25R,U,1901.0,"['../stimuli/version1_gray_lm/id054_25L_D.png', '../stimuli/version1_gray_lm/id054_00C_C.png', '../stimuli/version1_gray_lm/id101_25R_U.png']",68481.0,0.0,13.0,2.0,encoding,woman,054,"[0, 1]",white,"['25L', '00C']","['D', 'C']",,"{'muct_id': '281', 'lighting': 't', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '80', 'lighting': 's', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266e4b905dee01448e38f74,6266e20a583caa8581feb913,5dda51f040460e9a0f5f6a70,,,,,,,,,,,,,,,,,,,,
8217,6266e50f06b19921fe99d0b5,Chrome,2.0,main_task,1.0,2.0,chris,"4/25/2022, 11:14:38 AM",5a1s60o6zgtxfmr92myb,0.0-8.0,pilot_prolific_20_trials,39,woman,103,1.0,black,50L,C,3935.0,"['../stimuli/version1_gray_lm/id019_00C_U.png', '../stimuli/version1_gray_lm/id103_50L_C.png', '../stimuli/version1_gray_lm/id019_50R_D.png']",73073.0,0.0,15.0,3.0,encoding,woman,019,"[0, 2]",black,"['00C', '50R']","['U', 'D']",,"{'muct_id': '285', 'lighting': 'v', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'black', 'gender_common': 'woman'}","{'muct_id': '23', 'lighting': 'q', 'race_guess': 'b', 'gender_guess': 'u', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'black', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266e4b905dee01448e38f74,6266e20a583caa8581feb913,5dda51f040460e9a0f5f6a70,,,,,,,,,,,,,,,,,,,,
8218,6266e51106b19921fe99d0b6,Chrome,1.0,main_task,1.0,1.0,chris,"4/25/2022, 11:14:41 AM",5a1s60o6zgtxfmr92myb,0.0-10.0,pilot_prolific_20_trials,37,man,100,0.0,white,25L,C,2019.0,"['../stimuli/version1_gray_lm/id100_25L_C.png', '../stimuli/version1_gray_lm/id099_00C_U.png', '../stimuli/version1_gray_lm/id099_25R_D.png']",75972.0,0.0,17.0,4.0,encoding,man,099,"[1, 2]",white,"['00C', '25R']","['U', 'D']",,"{'muct_id': '280', 'lighting': 'u', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '278', 'lighting': 't', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266e4b905dee01448e38f74,6266e20a583caa8581feb913,5dda51f040460e9a0f5f6a70,,,,,,,,,,,,,,,,,,,,
8219,6266e51506b19921fe99d0b7,Chrome,2.0,main_task,1.0,2.0,chris,"4/25/2022, 11:14:45 AM",5a1s60o6zgtxfmr92myb,0.0-12.0,pilot_prolific_20_trials,39,man,112,1.0,black,00C,C,3170.0,"['../stimuli/version1_gray_lm/id021_50R_U.png', '../stimuli/version1_gray_lm/id112_00C_C.png', '../stimuli/version1_gray_lm/id021_50L_D.png']",79710.0,0.0,19.0,5.0,encoding,man,021,"[0, 2]",black,"['50R', '50L']","['U', 'D']",,"{'muct_id': '406', 'lighting': 'w', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '25', 'lighting': 'r', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266e4b905dee01448e38f74,6266e20a583caa8581feb913,5dda51f040460e9a0f5f6a70,,,,,,,,,,,,,,,,,,,,
8220,6266e51906b19921fe99d0b8,Chrome,2.0,main_task,0.0,1.0,chris,"4/25/2022, 11:14:49 AM",5a1s60o6zgtxfmr92myb,0.0-14.0,pilot_prolific_20_trials,39,woman,102,0.0,white,00C,D,3575.0,"['../stimuli/version1_gray_lm/id102_00C_D.png', '../stimuli/version1_gray_lm/id018_50R_U.png', '../stimuli/version1_gray_lm/id018_25L_C.png']",83901.0,0.0,21.0,6.0,encoding,woman,018,"[1, 2]",white,"['50R', '25L']","['U', 'C']",,"{'muct_id': '283', 'lighting': 't', 'race_guess': 'i', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'pottu', 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '21', 'lighting': 'q', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6266e4b905dee01448e38f74,6266e20a583caa8581feb913,5dda51f040460e9a0f5f6a70,,,,,,,,,,,,,,,,,,,,
