,_id,browser,choice,collection,correct,correct_response,database,datetime,experiment_id,internal_node_id,iteration,key_press,oddity_gender,oddity_identity,oddity_index,oddity_race,oddity_tiltLR,oddity_tiltUD,rt,stimulus,time_elapsed,timed_out,trial_index,trial_number,trial_type,typicals_gender,typicals_identity,typicals_indices,typicals_race,typicals_tiltsLR,typicals_tiltsUD,practice_threshold_met,oddity_meta,typicals_meta,button_pressed,last_trial_type,prediction,choice_category,choice_object,oddity_category,oddity_name,oddity_type,stimulus_response_map,typical_category,typical_indices,typical_name,variation_level,encoding_pair,encoding_type,gender,identity,meta,original_index,original_tiltLR,original_tiltUD,race,response,retrieval_condition,tiltLR,tiltUD,tilt_change,tilt_difference,original_tilt,encoding_accuracy,encoding_avg_rt,encoding_n_trials,experimental_duration,filler_accuracy,filler_avg_rt,filler_n_trials,params,retrieval_accuracy,retrieval_avg_rt,retrieval_n_trials,total_bonus,total_payment,age,gender_other,latinx,session_id,study_id,subject_id,meta_new,meta_old,new_gender,new_identity,new_index,new_race,new_tiltLR,new_tiltUD,old_encoding_pair,old_encoding_type,old_gender,old_identity,old_index,old_original_index,old_original_tiltLR,old_original_tiltUD,old_race,old_tiltLR,old_tiltUD,stimuli,oddity_mb,typicals_mb,new_mb,old_mb,old_tilt_change,old_tilt_difference
20873,6275583a1a371c538416ce45,Chrome,2.0,main_task,1.0,2.0,chris,"5/6/2022, 1:17:46 PM",fk0tx48d0yco5xjacw9q,0.0-2.0-0.0,pilot_prolific_afc_0_25,39,woman,048,1.0,latinx,25R,C,1622,"['../stimuli/version1_gray_lm/id130_25L_U.png', '../stimuli/version1_gray_lm/id048_25R_C.png', '../stimuli/version1_gray_lm/id130_00C_D.png']",46641.0,0.0,2.0,1.0,encoding_practice,woman,130,"[0, 2]",latinx,"['25L', '00C']","['U', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627557f2a4d61882cd69ee60,6270a134c9156018b145dc21,594ad91fa6fb8200018f720c,,,,,,,,,,,,,,,,,,,,,0.7797645330429077,"[0.8352316617965698, 0.9049838781356812]",,,,
20874,627558401a371c538416ce46,Chrome,2.0,main_task,1.0,2.0,chris,"5/6/2022, 1:17:52 PM",fk0tx48d0yco5xjacw9q,0.0-2.1-0.1,pilot_prolific_afc_0_25,39,woman,048,1.0,latinx,00C,C,3565,"['../stimuli/version1_gray_lm/id023_25L_U.png', '../stimuli/version1_gray_lm/id048_00C_C.png', '../stimuli/version1_gray_lm/id023_25R_D.png']",52292.0,0.0,4.0,2.0,encoding_practice,man,023,"[0, 2]",latinx,"['25L', '25R']","['U', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627557f2a4d61882cd69ee60,6270a134c9156018b145dc21,594ad91fa6fb8200018f720c,,,,,,,,,,,,,,,,,,,,,0.8234363794326782,"[0.7652738690376282, 0.8539820313453674]",,,,
20875,627558421a371c538416ce47,Chrome,1.0,main_task,1.0,1.0,chris,"5/6/2022, 1:17:54 PM",fk0tx48d0yco5xjacw9q,0.0-2.2-0.2,pilot_prolific_afc_0_25,37,woman,130,0.0,latinx,00C,C,1444,"['../stimuli/version1_gray_lm/id130_00C_C.png', '../stimuli/version1_gray_lm/id023_25L_D.png', '../stimuli/version1_gray_lm/id023_25R_U.png']",54324.0,0.0,6.0,3.0,encoding_practice,man,023,"[1, 2]",latinx,"['25L', '25R']","['D', 'U']",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627557f2a4d61882cd69ee60,6270a134c9156018b145dc21,594ad91fa6fb8200018f720c,,,,,,,,,,,,,,,,,,,,,0.880339503288269,"[0.8447763323783875, 0.8266948461532593]",,,,
20876,627558491a371c538416ce48,Chrome,1.0,main_task,1.0,1.0,chris,"5/6/2022, 1:18:01 PM",fk0tx48d0yco5xjacw9q,0.0-4.0,pilot_prolific_afc_0_25,37,man,039,0.0,white,25R,D,1524,"['../stimuli/version1_gray_lm/id039_25R_D.png', '../stimuli/version1_gray_lm/id053_00C_U.png', '../stimuli/version1_gray_lm/id053_25L_C.png']",61516.0,0.0,9.0,1.0,encoding,man,053,"[1, 2]",white,"['00C', '25L']","['U', 'C']",,"{'muct_id': '52', 'lighting': 'q', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '79', 'lighting': 'r', 'race_guess': 'i', 'gender_guess': 'm', 'quality': '2', 'quality_eyes': '2', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '2', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627557f2a4d61882cd69ee60,6270a134c9156018b145dc21,594ad91fa6fb8200018f720c,,,,,,,,,,,,,,,,,,,,,0.8444046378135681,"[0.8477749824523926, 0.879274845123291]",,,,
20877,6275584a1a371c538416ce49,Chrome,3.0,main_task,1.0,3.0,chris,"5/6/2022, 1:18:03 PM",fk0tx48d0yco5xjacw9q,0.0-6.0,pilot_prolific_afc_0_25,40,man,012,2.0,white,25R,U,1017,"['../stimuli/version1_gray_lm/id073_25L_D.png', '../stimuli/version1_gray_lm/id073_00C_C.png', '../stimuli/version1_gray_lm/id012_25R_U.png']",63147.0,0.0,11.0,2.0,encoding,man,073,"[0, 1]",white,"['25L', '00C']","['D', 'C']",,"{'muct_id': '12', 'lighting': 'q', 'race_guess': 'i', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '225', 'lighting': 'u', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627557f2a4d61882cd69ee60,6270a134c9156018b145dc21,594ad91fa6fb8200018f720c,,,,,,,,,,,,,,,,,,,,,0.8580827713012695,"[0.8398234844207764, 0.8617779016494751]",,,,
20878,6275584d1a371c538416ce4a,Chrome,1.0,main_task,1.0,1.0,chris,"5/6/2022, 1:18:05 PM",fk0tx48d0yco5xjacw9q,0.0-8.0,pilot_prolific_afc_0_25,37,man,064,0.0,black,25R,U,1962,"['../stimuli/version1_gray_lm/id064_25R_U.png', '../stimuli/version1_gray_lm/id117_25L_D.png', '../stimuli/version1_gray_lm/id117_00C_C.png']",65679.0,0.0,13.0,3.0,encoding,man,117,"[1, 2]",black,"['25L', '00C']","['D', 'C']",,"{'muct_id': '204', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '417', 'lighting': 'w', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': 'mouth', 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627557f2a4d61882cd69ee60,6270a134c9156018b145dc21,594ad91fa6fb8200018f720c,,,,,,,,,,,,,,,,,,,,,0.7903277277946472,"[0.8990145921707153, 0.8551556468009949]",,,,
20879,6275584f1a371c538416ce4b,Chrome,2.0,main_task,1.0,2.0,chris,"5/6/2022, 1:18:08 PM",fk0tx48d0yco5xjacw9q,0.0-10.0,pilot_prolific_afc_0_25,39,man,112,1.0,black,25L,C,1897,"['../stimuli/version1_gray_lm/id081_00C_U.png', '../stimuli/version1_gray_lm/id112_25L_C.png', '../stimuli/version1_gray_lm/id081_25R_D.png']",68003.0,0.0,15.0,4.0,encoding,man,081,"[0, 2]",black,"['00C', '25R']","['U', 'D']",,"{'muct_id': '406', 'lighting': 'w', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '241', 'lighting': 't', 'race_guess': 'u', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': 'mouth', 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627557f2a4d61882cd69ee60,6270a134c9156018b145dc21,594ad91fa6fb8200018f720c,,,,,,,,,,,,,,,,,,,,,0.8308467864990234,"[0.7884091734886169, 0.8508874773979187]",,,,
20880,627558511a371c538416ce4c,Chrome,3.0,main_task,1.0,3.0,chris,"5/6/2022, 1:18:10 PM",fk0tx48d0yco5xjacw9q,0.0-12.0,pilot_prolific_afc_0_25,40,woman,152,2.0,white,00C,C,1653,"['../stimuli/version1_gray_lm/id141_25R_D.png', '../stimuli/version1_gray_lm/id141_25L_U.png', '../stimuli/version1_gray_lm/id152_00C_C.png']",70129.0,0.0,17.0,5.0,encoding,woman,141,"[0, 1]",white,"['25R', '25L']","['D', 'U']",,"{'muct_id': '446', 'lighting': 'w', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '77', 'lighting': 's', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627557f2a4d61882cd69ee60,6270a134c9156018b145dc21,594ad91fa6fb8200018f720c,,,,,,,,,,,,,,,,,,,,,0.8687135577201843,"[0.7930634617805481, 0.8664644360542297]",,,,
20881,627558531a371c538416ce4d,Chrome,1.0,main_task,1.0,1.0,chris,"5/6/2022, 1:18:12 PM",fk0tx48d0yco5xjacw9q,0.0-14.0,pilot_prolific_afc_0_25,37,man,049,0.0,white,00C,U,1388,"['../stimuli/version1_gray_lm/id049_00C_U.png', '../stimuli/version1_gray_lm/id037_25R_C.png', '../stimuli/version1_gray_lm/id037_25L_D.png']",71938.0,0.0,19.0,6.0,encoding,man,037,"[1, 2]",white,"['25R', '25L']","['C', 'D']",,"{'muct_id': '66', 'lighting': 'r', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '48', 'lighting': 'w', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627557f2a4d61882cd69ee60,6270a134c9156018b145dc21,594ad91fa6fb8200018f720c,,,,,,,,,,,,,,,,,,,,,0.8720439672470093,"[0.7963417768478394, 0.8619772791862488]",,,,
20882,627558551a371c538416ce4e,Chrome,3.0,main_task,1.0,3.0,chris,"5/6/2022, 1:18:13 PM",fk0tx48d0yco5xjacw9q,0.0-16.0,pilot_prolific_afc_0_25,40,man,090,2.0,black,25L,D,1293,"['../stimuli/version1_gray_lm/id139_25R_C.png', '../stimuli/version1_gray_lm/id139_00C_U.png', '../stimuli/version1_gray_lm/id090_25L_D.png']",73622.0,0.0,21.0,7.0,encoding,man,139,"[0, 1]",black,"['25R', '00C']","['C', 'U']",,"{'muct_id': '259', 'lighting': 'v', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '623', 'lighting': 'y', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': 'mouth', 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627557f2a4d61882cd69ee60,6270a134c9156018b145dc21,594ad91fa6fb8200018f720c,,,,,,,,,,,,,,,,,,,,,0.8555980324745178,"[0.8236911296844482, 0.8302584886550903]",,,,
