,_id,browser,choice,collection,correct,correct_response,database,datetime,experiment_id,internal_node_id,iteration,key_press,oddity_gender,oddity_identity,oddity_index,oddity_race,oddity_tiltLR,oddity_tiltUD,rt,stimulus,time_elapsed,timed_out,trial_index,trial_number,trial_type,typicals_gender,typicals_identity,typicals_indices,typicals_race,typicals_tiltsLR,typicals_tiltsUD,practice_threshold_met,oddity_meta,typicals_meta,button_pressed,last_trial_type,prediction,choice_category,choice_object,oddity_category,oddity_name,oddity_type,stimulus_response_map,typical_category,typical_indices,typical_name,variation_level,encoding_pair,encoding_type,gender,identity,meta,original_index,original_tiltLR,original_tiltUD,race,response,retrieval_condition,tiltLR,tiltUD,tilt_change,tilt_difference,original_tilt,encoding_accuracy,encoding_avg_rt,encoding_n_trials,experimental_duration,filler_accuracy,filler_avg_rt,filler_n_trials,params,retrieval_accuracy,retrieval_avg_rt,retrieval_n_trials,total_bonus,total_payment,age,gender_other,latinx,session_id,study_id,subject_id,meta_new,meta_old,new_gender,new_identity,new_index,new_race,new_tiltLR,new_tiltUD,old_encoding_pair,old_encoding_type,old_gender,old_identity,old_index,old_original_index,old_original_tiltLR,old_original_tiltUD,old_race,old_tiltLR,old_tiltUD,stimuli,oddity_mb,typicals_mb,new_mb,old_mb,old_tilt_change,old_tilt_difference
12815,626c4ff71a371c538416aeca,Chrome,1.0,main_task,1.0,1.0,chris,"4/29/2022, 3:52:07 PM",e2z0wjp17kbqvncson68,0.0-2.0-0.0,pilot_prolific_afc2_color,37,woman,108,0.0,latinx,00C,D,3572,"['../stimuli/version1_color/id108_00C_D.png', '../stimuli/version1_color/id110_50R_C.png', '../stimuli/version1_color/id110_50L_U.png']",207870.0,0.0,2.0,1.0,encoding_practice,woman,110,"[1, 2]",latinx,"['50R', '50L']","['C', 'U']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626c4f07ebd0736a3ad0eed5,626c2d4cb109dd263cf9c984,60fd772e3e1dd6055c9c11bc,,,,,,,,,,,,,,,,,,,,,0.9393647313117981,"[0.8368445038795471, 0.8689833879470825]",,,,
12816,626c4ffe1a371c538416aecb,Chrome,1.0,main_task,1.0,1.0,chris,"4/29/2022, 3:52:14 PM",e2z0wjp17kbqvncson68,0.0-2.1-0.1,pilot_prolific_afc2_color,37,woman,108,0.0,latinx,00C,C,4123,"['../stimuli/version1_color/id108_00C_C.png', '../stimuli/version1_color/id106_25L_D.png', '../stimuli/version1_color/id106_50R_U.png']",214454.0,0.0,4.0,2.0,encoding_practice,woman,106,"[1, 2]",latinx,"['25L', '50R']","['D', 'U']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626c4f07ebd0736a3ad0eed5,626c2d4cb109dd263cf9c984,60fd772e3e1dd6055c9c11bc,,,,,,,,,,,,,,,,,,,,,0.922171950340271,"[0.8585661053657532, 0.9077648520469666]",,,,
12817,626c50031a371c538416aecc,Chrome,3.0,main_task,1.0,3.0,chris,"4/29/2022, 3:52:18 PM",e2z0wjp17kbqvncson68,0.0-2.2-0.2,pilot_prolific_afc2_color,40,woman,106,2.0,latinx,25R,U,3678,"['../stimuli/version1_color/id110_50L_C.png', '../stimuli/version1_color/id110_00C_D.png', '../stimuli/version1_color/id106_25R_U.png']",219332.0,0.0,6.0,3.0,encoding_practice,woman,110,"[0, 1]",latinx,"['50L', '00C']","['C', 'D']",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626c4f07ebd0736a3ad0eed5,626c2d4cb109dd263cf9c984,60fd772e3e1dd6055c9c11bc,,,,,,,,,,,,,,,,,,,,,0.8683409690856934,"[0.8589649796485901, 0.8946543335914612]",,,,
12818,626c500c1a371c538416aecd,Chrome,1.0,main_task,1.0,1.0,chris,"4/29/2022, 3:52:28 PM",e2z0wjp17kbqvncson68,0.0-4.0,pilot_prolific_afc2_color,37,man,100,0.0,white,50L,D,2042,"['../stimuli/version1_color/id100_50L_D.png', '../stimuli/version1_color/id032_50R_C.png', '../stimuli/version1_color/id032_00C_U.png']",228972.0,0.0,9.0,1.0,encoding,man,032,"[1, 2]",white,"['50R', '00C']","['C', 'U']",,"{'muct_id': '280', 'lighting': 'u', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '43', 'lighting': 'q', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626c4f07ebd0736a3ad0eed5,626c2d4cb109dd263cf9c984,60fd772e3e1dd6055c9c11bc,,,,,,,,,,,,,,,,,,,,,0.894270122051239,"[0.8966609239578247, 0.8932823538780212]",,,,
12819,626c500f1a371c538416aece,Chrome,1.0,main_task,1.0,1.0,chris,"4/29/2022, 3:52:31 PM",e2z0wjp17kbqvncson68,0.0-6.0,pilot_prolific_afc2_color,37,woman,103,0.0,black,50L,C,1759,"['../stimuli/version1_color/id103_50L_C.png', '../stimuli/version1_color/id019_50R_D.png', '../stimuli/version1_color/id019_00C_U.png']",231770.0,0.0,11.0,2.0,encoding,woman,019,"[1, 2]",black,"['50R', '00C']","['D', 'U']",,"{'muct_id': '285', 'lighting': 'v', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'black', 'gender_common': 'woman'}","{'muct_id': '23', 'lighting': 'q', 'race_guess': 'b', 'gender_guess': 'u', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'black', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626c4f07ebd0736a3ad0eed5,626c2d4cb109dd263cf9c984,60fd772e3e1dd6055c9c11bc,,,,,,,,,,,,,,,,,,,,,0.8680217266082764,"[0.9158408641815186, 0.8703259825706482]",,,,
12820,626c50111a371c538416aecf,Chrome,3.0,main_task,1.0,3.0,chris,"4/29/2022, 3:52:33 PM",e2z0wjp17kbqvncson68,0.0-8.0,pilot_prolific_afc2_color,40,man,105,2.0,black,25L,D,1291,"['../stimuli/version1_color/id086_00C_C.png', '../stimuli/version1_color/id086_25R_U.png', '../stimuli/version1_color/id105_25L_D.png']",234185.0,0.0,13.0,3.0,encoding,man,086,"[0, 1]",black,"['00C', '25R']","['C', 'U']",,"{'muct_id': '290', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '250', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626c4f07ebd0736a3ad0eed5,626c2d4cb109dd263cf9c984,60fd772e3e1dd6055c9c11bc,,,,,,,,,,,,,,,,,,,,,0.8621833920478821,"[0.9009056091308594, 0.8607013821601868]",,,,
12821,626c50151a371c538416aed0,Chrome,2.0,main_task,1.0,2.0,chris,"4/29/2022, 3:52:37 PM",e2z0wjp17kbqvncson68,0.0-10.0,pilot_prolific_afc2_color,39,woman,101,1.0,white,00C,C,2393,"['../stimuli/version1_color/id029_50R_D.png', '../stimuli/version1_color/id101_00C_C.png', '../stimuli/version1_color/id029_50L_U.png']",237504.0,0.0,15.0,4.0,encoding,woman,029,"[0, 2]",white,"['50R', '50L']","['D', 'U']",,"{'muct_id': '281', 'lighting': 't', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '39', 'lighting': 'r', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings hair', 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626c4f07ebd0736a3ad0eed5,626c2d4cb109dd263cf9c984,60fd772e3e1dd6055c9c11bc,,,,,,,,,,,,,,,,,,,,,0.9598024487495422,"[0.888931393623352, 0.875914990901947]",,,,
12822,626c50171a371c538416aed1,Chrome,3.0,main_task,1.0,3.0,chris,"4/29/2022, 3:52:39 PM",e2z0wjp17kbqvncson68,0.0-12.0,pilot_prolific_afc2_color,40,man,107,2.0,black,50R,U,1415,"['../stimuli/version1_color/id081_25L_C.png', '../stimuli/version1_color/id081_00C_D.png', '../stimuli/version1_color/id107_50R_U.png']",239799.0,0.0,17.0,5.0,encoding,man,081,"[0, 1]",black,"['25L', '00C']","['C', 'D']",,"{'muct_id': '297', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '4.0', 'notes': 'beard', 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '241', 'lighting': 't', 'race_guess': 'u', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': 'mouth', 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626c4f07ebd0736a3ad0eed5,626c2d4cb109dd263cf9c984,60fd772e3e1dd6055c9c11bc,,,,,,,,,,,,,,,,,,,,,0.8867155909538269,"[0.8865429162979126, 0.9239322543144226]",,,,
12823,626c501b1a371c538416aed2,Chrome,3.0,main_task,1.0,3.0,chris,"4/29/2022, 3:52:43 PM",e2z0wjp17kbqvncson68,0.0-14.0,pilot_prolific_afc2_color,40,woman,111,2.0,black,25R,U,2926,"['../stimuli/version1_color/id077_00C_C.png', '../stimuli/version1_color/id077_50L_D.png', '../stimuli/version1_color/id111_25R_U.png']",243451.0,0.0,19.0,6.0,encoding,woman,077,"[0, 1]",black,"['00C', '50L']","['C', 'D']",,"{'muct_id': '405', 'lighting': 'w', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'hair earrings', 'race_common': 'black', 'gender_common': 'woman'}","{'muct_id': '235', 'lighting': 'u', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'black', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626c4f07ebd0736a3ad0eed5,626c2d4cb109dd263cf9c984,60fd772e3e1dd6055c9c11bc,,,,,,,,,,,,,,,,,,,,,0.8451844453811646,"[0.9151434302330017, 0.8397294282913208]",,,,
12824,626c501e1a371c538416aed3,Chrome,1.0,main_task,1.0,1.0,chris,"4/29/2022, 3:52:46 PM",e2z0wjp17kbqvncson68,0.0-16.0,pilot_prolific_afc2_color,37,woman,102,0.0,white,50R,U,2485,"['../stimuli/version1_color/id102_50R_U.png', '../stimuli/version1_color/id051_25L_D.png', '../stimuli/version1_color/id051_00C_C.png']",246825.0,0.0,21.0,7.0,encoding,woman,051,"[1, 2]",white,"['25L', '00C']","['D', 'C']",,"{'muct_id': '283', 'lighting': 't', 'race_guess': 'i', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'pottu', 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '74', 'lighting': 'q', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626c4f07ebd0736a3ad0eed5,626c2d4cb109dd263cf9c984,60fd772e3e1dd6055c9c11bc,,,,,,,,,,,,,,,,,,,,,0.918367862701416,"[0.9123376607894897, 0.9637415409088135]",,,,
