,_id,browser,choice,collection,correct,correct_response,database,datetime,experiment_id,internal_node_id,iteration,key_press,oddity_gender,oddity_identity,oddity_index,oddity_race,oddity_tiltLR,oddity_tiltUD,rt,stimulus,time_elapsed,timed_out,trial_index,trial_number,trial_type,typicals_gender,typicals_identity,typicals_indices,typicals_race,typicals_tiltsLR,typicals_tiltsUD,practice_threshold_met,oddity_meta,typicals_meta,button_pressed,last_trial_type,prediction,choice_category,choice_object,oddity_category,oddity_name,oddity_type,stimulus_response_map,typical_category,typical_indices,typical_name,variation_level,encoding_pair,encoding_type,gender,identity,meta,original_index,original_tiltLR,original_tiltUD,race,response,retrieval_condition,tiltLR,tiltUD,tilt_change,tilt_difference,original_tilt,encoding_accuracy,encoding_avg_rt,encoding_n_trials,experimental_duration,filler_accuracy,filler_avg_rt,filler_n_trials,params,retrieval_accuracy,retrieval_avg_rt,retrieval_n_trials,total_bonus,total_payment,age,gender_other,latinx,session_id,study_id,subject_id
1978,6258f00f410f6008cca53b01,Chrome,1.0,main_task,0.0,2.0,chris,"4/15/2022, 12:09:52 AM",hc3vbqkqkpoh4ff6y738,0.0-2.0-0.0,pilot_prolific_inform_memory,37,woman,108,1.0,latinx,25R,C,5431.0,"['../stimuli/version1_gray_lm/id106_00C_U.png', '../stimuli/version1_gray_lm/id108_25R_C.png', '../stimuli/version1_gray_lm/id106_50L_D.png']",92119.0,0.0,2.0,1.0,encoding_practice,woman,106,"[0, 2]",latinx,"['00C', '50L']","['U', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6258efa7c0091b19e2d31b64,6258ed6a796ee239fc08fb8e,61130a12d87efcd777a39fe7
1979,6258f014410f6008cca53b02,Chrome,2.0,main_task,1.0,2.0,chris,"4/15/2022, 12:09:57 AM",hc3vbqkqkpoh4ff6y738,0.0-2.1-0.1,pilot_prolific_inform_memory,39,man,107,1.0,latinx,50R,U,3157.0,"['../stimuli/version1_gray_lm/id106_00C_D.png', '../stimuli/version1_gray_lm/id107_50R_U.png', '../stimuli/version1_gray_lm/id106_25L_C.png']",97350.0,0.0,4.0,2.0,encoding_practice,woman,106,"[0, 2]",latinx,"['00C', '25L']","['D', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6258efa7c0091b19e2d31b64,6258ed6a796ee239fc08fb8e,61130a12d87efcd777a39fe7
1980,6258f018410f6008cca53b03,Chrome,2.0,main_task,1.0,2.0,chris,"4/15/2022, 12:10:01 AM",hc3vbqkqkpoh4ff6y738,0.0-2.2-0.2,pilot_prolific_inform_memory,39,woman,106,1.0,latinx,50L,C,2294.0,"['../stimuli/version1_gray_lm/id107_00C_D.png', '../stimuli/version1_gray_lm/id106_50L_C.png', '../stimuli/version1_gray_lm/id107_50R_U.png']",101130.0,0.0,6.0,3.0,encoding_practice,man,107,"[0, 2]",latinx,"['00C', '50R']","['D', 'U']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6258efa7c0091b19e2d31b64,6258ed6a796ee239fc08fb8e,61130a12d87efcd777a39fe7
1981,6258f01a410f6008cca53b04,Chrome,3.0,main_task,1.0,3.0,chris,"4/15/2022, 12:10:03 AM",hc3vbqkqkpoh4ff6y738,0.0-2.3-0.3,pilot_prolific_inform_memory,40,woman,106,2.0,latinx,25R,U,1622.0,"['../stimuli/version1_gray_lm/id107_00C_D.png', '../stimuli/version1_gray_lm/id107_50L_C.png', '../stimuli/version1_gray_lm/id106_25R_U.png']",103646.0,0.0,8.0,4.0,encoding_practice,man,107,"[0, 1]",latinx,"['00C', '50L']","['D', 'C']",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6258efa7c0091b19e2d31b64,6258ed6a796ee239fc08fb8e,61130a12d87efcd777a39fe7
1982,6258f02c410f6008cca53b05,Chrome,3.0,main_task,1.0,3.0,chris,"4/15/2022, 12:10:21 AM",hc3vbqkqkpoh4ff6y738,0.0-4.0,pilot_prolific_inform_memory,40,woman,103,2.0,black,25L,U,7386.0,"['../stimuli/version1_gray_lm/id035_50R_D.png', '../stimuli/version1_gray_lm/id035_00C_C.png', '../stimuli/version1_gray_lm/id103_25L_U.png']",121036.0,0.0,11.0,1.0,encoding,woman,035,"[0, 1]",black,"['50R', '00C']","['D', 'C']",,"{'muct_id': '285', 'lighting': 'v', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'black', 'gender_common': 'woman'}","{'muct_id': '46', 'lighting': 'q', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'black', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6258efa7c0091b19e2d31b64,6258ed6a796ee239fc08fb8e,61130a12d87efcd777a39fe7
1983,6258f030410f6008cca53b06,Chrome,3.0,main_task,1.0,3.0,chris,"4/15/2022, 12:10:25 AM",hc3vbqkqkpoh4ff6y738,0.0-6.0,pilot_prolific_inform_memory,40,man,105,2.0,black,50R,C,3215.0,"['../stimuli/version1_gray_lm/id004_25L_D.png', '../stimuli/version1_gray_lm/id004_00C_U.png', '../stimuli/version1_gray_lm/id105_50R_C.png']",125374.0,0.0,13.0,2.0,encoding,man,004,"[0, 1]",black,"['25L', '00C']","['D', 'U']",,"{'muct_id': '290', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '4', 'lighting': 'q', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6258efa7c0091b19e2d31b64,6258ed6a796ee239fc08fb8e,61130a12d87efcd777a39fe7
1984,6258f034410f6008cca53b07,Chrome,2.0,main_task,1.0,2.0,chris,"4/15/2022, 12:10:29 AM",hc3vbqkqkpoh4ff6y738,0.0-8.0,pilot_prolific_inform_memory,39,woman,101,1.0,white,50R,U,2823.0,"['../stimuli/version1_gray_lm/id054_00C_D.png', '../stimuli/version1_gray_lm/id101_50R_U.png', '../stimuli/version1_gray_lm/id054_25L_C.png']",129062.0,0.0,15.0,3.0,encoding,woman,054,"[0, 2]",white,"['00C', '25L']","['D', 'C']",,"{'muct_id': '281', 'lighting': 't', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '80', 'lighting': 's', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6258efa7c0091b19e2d31b64,6258ed6a796ee239fc08fb8e,61130a12d87efcd777a39fe7
1985,6258f038410f6008cca53b08,Chrome,1.0,main_task,1.0,1.0,chris,"4/15/2022, 12:10:33 AM",hc3vbqkqkpoh4ff6y738,0.0-10.0,pilot_prolific_inform_memory,37,man,100,0.0,white,50R,C,3333.0,"['../stimuli/version1_gray_lm/id100_50R_C.png', '../stimuli/version1_gray_lm/id047_25L_D.png', '../stimuli/version1_gray_lm/id047_00C_U.png']",133085.0,0.0,17.0,4.0,encoding,man,047,"[1, 2]",white,"['25L', '00C']","['D', 'U']",,"{'muct_id': '280', 'lighting': 'u', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '64', 'lighting': 'q', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6258efa7c0091b19e2d31b64,6258ed6a796ee239fc08fb8e,61130a12d87efcd777a39fe7
1986,6258f03d410f6008cca53b09,Chrome,2.0,main_task,1.0,2.0,chris,"4/15/2022, 12:10:38 AM",hc3vbqkqkpoh4ff6y738,0.0-12.0,pilot_prolific_inform_memory,39,woman,111,1.0,black,50R,C,4348.0,"['../stimuli/version1_gray_lm/id140_25L_D.png', '../stimuli/version1_gray_lm/id111_50R_C.png', '../stimuli/version1_gray_lm/id140_00C_U.png']",138029.0,0.0,19.0,5.0,encoding,woman,140,"[0, 2]",black,"['25L', '00C']","['D', 'U']",,"{'muct_id': '405', 'lighting': 'w', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'hair earrings', 'race_common': 'black', 'gender_common': 'woman'}","{'muct_id': '624', 'lighting': 'y', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'headband, earring', 'race_common': 'black', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6258efa7c0091b19e2d31b64,6258ed6a796ee239fc08fb8e,61130a12d87efcd777a39fe7
1987,6258f044410f6008cca53b0a,Chrome,1.0,main_task,0.0,2.0,chris,"4/15/2022, 12:10:45 AM",hc3vbqkqkpoh4ff6y738,0.0-14.0,pilot_prolific_inform_memory,37,woman,102,1.0,white,50L,U,6342.0,"['../stimuli/version1_gray_lm/id017_00C_C.png', '../stimuli/version1_gray_lm/id102_50L_U.png', '../stimuli/version1_gray_lm/id017_50R_D.png']",145158.0,0.0,21.0,6.0,encoding,woman,017,"[0, 2]",white,"['00C', '50R']","['C', 'D']",,"{'muct_id': '283', 'lighting': 't', 'race_guess': 'i', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'pottu', 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '19', 'lighting': 'r', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6258efa7c0091b19e2d31b64,6258ed6a796ee239fc08fb8e,61130a12d87efcd777a39fe7
