,_id,browser,choice,collection,correct,correct_response,database,datetime,experiment_id,internal_node_id,iteration,key_press,oddity_gender,oddity_identity,oddity_index,oddity_race,oddity_tiltLR,oddity_tiltUD,rt,stimulus,time_elapsed,timed_out,trial_index,trial_number,trial_type,typicals_gender,typicals_identity,typicals_indices,typicals_race,typicals_tiltsLR,typicals_tiltsUD,practice_threshold_met,oddity_meta,typicals_meta,button_pressed,last_trial_type,prediction,choice_category,choice_object,oddity_category,oddity_name,oddity_type,stimulus_response_map,typical_category,typical_indices,typical_name,variation_level,encoding_pair,encoding_type,gender,identity,meta,original_index,original_tiltLR,original_tiltUD,race,response,retrieval_condition,tiltLR,tiltUD,tilt_change,tilt_difference,original_tilt,encoding_accuracy,encoding_avg_rt,encoding_n_trials,experimental_duration,filler_accuracy,filler_avg_rt,filler_n_trials,params,retrieval_accuracy,retrieval_avg_rt,retrieval_n_trials,total_bonus,total_payment,age,gender_other,latinx,session_id,study_id,subject_id
3533,625e17e2b06d664c87071f88,Chrome,3.0,main_task,1.0,3.0,chris,"4/18/2022, 10:01:06 PM",enpzcs5vx3nem871ak5w,0.0-2.0-0.0,pilot_prolific_repeat_encoding,40,man,107,2.0,latinx,00C,U,2933.0,"['../stimuli/version1_gray_lm/id106_50R_D.png', '../stimuli/version1_gray_lm/id106_50L_C.png', '../stimuli/version1_gray_lm/id107_00C_U.png']",80739.0,0.0,2.0,1.0,encoding_practice,woman,106,"[0, 1]",latinx,"['50R', '50L']","['D', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625e178456f03cd939f5b01d,625e15a9b58e919816fee4ea,5dcdd7bf324a3d0a6c24b608
3534,625e17e7b06d664c87071f89,Chrome,2.0,main_task,1.0,2.0,chris,"4/18/2022, 10:01:11 PM",enpzcs5vx3nem871ak5w,0.0-2.1-0.1,pilot_prolific_repeat_encoding,39,man,107,1.0,latinx,50R,D,2562.0,"['../stimuli/version1_gray_lm/id106_50L_C.png', '../stimuli/version1_gray_lm/id107_50R_D.png', '../stimuli/version1_gray_lm/id106_00C_U.png']",85784.0,0.0,4.0,2.0,encoding_practice,woman,106,"[0, 2]",latinx,"['50L', '00C']","['C', 'U']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625e178456f03cd939f5b01d,625e15a9b58e919816fee4ea,5dcdd7bf324a3d0a6c24b608
3535,625e17ecb06d664c87071f8a,Chrome,1.0,main_task,1.0,1.0,chris,"4/18/2022, 10:01:16 PM",enpzcs5vx3nem871ak5w,0.0-2.2-0.2,pilot_prolific_repeat_encoding,37,man,107,0.0,latinx,25L,C,3630.0,"['../stimuli/version1_gray_lm/id107_25L_C.png', '../stimuli/version1_gray_lm/id108_50R_D.png', '../stimuli/version1_gray_lm/id108_00C_U.png']",90688.0,0.0,6.0,3.0,encoding_practice,woman,108,"[1, 2]",latinx,"['50R', '00C']","['D', 'U']",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625e178456f03cd939f5b01d,625e15a9b58e919816fee4ea,5dcdd7bf324a3d0a6c24b608
3536,625e17f6b06d664c87071f8b,Chrome,3.0,main_task,1.0,3.0,chris,"4/18/2022, 10:01:26 PM",enpzcs5vx3nem871ak5w,0.0-4.0,pilot_prolific_repeat_encoding,40,woman,103,2.0,black,00C,D,4471.0,"['../stimuli/version1_gray_lm/id005_25R_C.png', '../stimuli/version1_gray_lm/id005_50L_U.png', '../stimuli/version1_gray_lm/id103_00C_D.png']",100936.0,0.0,9.0,1.0,encoding,woman,005,"[0, 1]",black,"['25R', '50L']","['C', 'U']",,"{'muct_id': '285', 'lighting': 'v', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'earrings', 'race_common': 'black', 'gender_common': 'woman'}","{'muct_id': '5', 'lighting': 'q', 'race_guess': 'b', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'hat', 'race_common': 'black', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625e178456f03cd939f5b01d,625e15a9b58e919816fee4ea,5dcdd7bf324a3d0a6c24b608
3537,625e17fdb06d664c87071f8c,Chrome,2.0,main_task,1.0,2.0,chris,"4/18/2022, 10:01:33 PM",enpzcs5vx3nem871ak5w,0.0-6.0,pilot_prolific_repeat_encoding,39,woman,101,1.0,white,25R,U,5910.0,"['../stimuli/version1_gray_lm/id084_00C_D.png', '../stimuli/version1_gray_lm/id101_25R_U.png', '../stimuli/version1_gray_lm/id084_25L_C.png']",108241.0,0.0,11.0,2.0,encoding,woman,084,"[0, 2]",white,"['00C', '25L']","['D', 'C']",,"{'muct_id': '281', 'lighting': 't', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '248', 'lighting': 'u', 'race_guess': 'w', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625e178456f03cd939f5b01d,625e15a9b58e919816fee4ea,5dcdd7bf324a3d0a6c24b608
3538,625e1804b06d664c87071f8d,Chrome,2.0,main_task,0.0,1.0,chris,"4/18/2022, 10:01:40 PM",enpzcs5vx3nem871ak5w,0.0-8.0,pilot_prolific_repeat_encoding,39,man,105,0.0,black,25R,C,5867.0,"['../stimuli/version1_gray_lm/id105_25R_C.png', '../stimuli/version1_gray_lm/id065_25L_D.png', '../stimuli/version1_gray_lm/id065_00C_U.png']",115010.0,0.0,13.0,3.0,encoding,man,065,"[1, 2]",black,"['25L', '00C']","['D', 'U']",,"{'muct_id': '290', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '206', 'lighting': 't', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625e178456f03cd939f5b01d,625e15a9b58e919816fee4ea,5dcdd7bf324a3d0a6c24b608
3539,625e1808b06d664c87071f8e,Chrome,1.0,main_task,1.0,1.0,chris,"4/18/2022, 10:01:45 PM",enpzcs5vx3nem871ak5w,0.0-10.0,pilot_prolific_repeat_encoding,37,man,100,0.0,white,50L,U,3332.0,"['../stimuli/version1_gray_lm/id100_50L_U.png', '../stimuli/version1_gray_lm/id099_25R_D.png', '../stimuli/version1_gray_lm/id099_00C_C.png']",119398.0,0.0,15.0,4.0,encoding,man,099,"[1, 2]",white,"['25R', '00C']","['D', 'C']",,"{'muct_id': '280', 'lighting': 'u', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '278', 'lighting': 't', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625e178456f03cd939f5b01d,625e15a9b58e919816fee4ea,5dcdd7bf324a3d0a6c24b608
3540,625e1810b06d664c87071f8f,Chrome,3.0,main_task,0.0,1.0,chris,"4/18/2022, 10:01:52 PM",enpzcs5vx3nem871ak5w,0.0-12.0,pilot_prolific_repeat_encoding,40,man,112,0.0,black,25R,C,6385.0,"['../stimuli/version1_gray_lm/id112_25R_C.png', '../stimuli/version1_gray_lm/id056_00C_D.png', '../stimuli/version1_gray_lm/id056_50L_U.png']",126572.0,0.0,17.0,5.0,encoding,man,056,"[1, 2]",black,"['00C', '50L']","['D', 'U']",,"{'muct_id': '406', 'lighting': 'w', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}","{'muct_id': '82', 'lighting': 'q', 'race_guess': 'b', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '1.0', 'notes': None, 'race_common': 'black', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625e178456f03cd939f5b01d,625e15a9b58e919816fee4ea,5dcdd7bf324a3d0a6c24b608
3541,625e1814b06d664c87071f90,Chrome,1.0,main_task,0.0,3.0,chris,"4/18/2022, 10:01:56 PM",enpzcs5vx3nem871ak5w,0.0-14.0,pilot_prolific_repeat_encoding,37,woman,102,2.0,white,25R,C,3312.0,"['../stimuli/version1_gray_lm/id007_00C_D.png', '../stimuli/version1_gray_lm/id007_25L_U.png', '../stimuli/version1_gray_lm/id102_25R_C.png']",130735.0,0.0,19.0,6.0,encoding,woman,007,"[0, 1]",white,"['00C', '25L']","['D', 'U']",,"{'muct_id': '283', 'lighting': 't', 'race_guess': 'i', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': 'pottu', 'race_common': 'white', 'gender_common': 'woman'}","{'muct_id': '7', 'lighting': 's', 'race_guess': 'u', 'gender_guess': 'w', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '0.0', 'notes': None, 'race_common': 'white', 'gender_common': 'woman'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625e178456f03cd939f5b01d,625e15a9b58e919816fee4ea,5dcdd7bf324a3d0a6c24b608
3542,625e1818b06d664c87071f91,Chrome,2.0,main_task,1.0,2.0,chris,"4/18/2022, 10:02:00 PM",enpzcs5vx3nem871ak5w,0.0-16.0,pilot_prolific_repeat_encoding,39,man,104,1.0,white,50L,U,3121.0,"['../stimuli/version1_gray_lm/id012_25R_D.png', '../stimuli/version1_gray_lm/id104_50L_U.png', '../stimuli/version1_gray_lm/id012_00C_C.png']",134800.0,0.0,21.0,7.0,encoding,man,012,"[0, 2]",white,"['25R', '00C']","['D', 'C']",,"{'muct_id': '287', 'lighting': 't', 'race_guess': 'w', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}","{'muct_id': '12', 'lighting': 'q', 'race_guess': 'i', 'gender_guess': 'm', 'quality': '3', 'quality_eyes': '3', 'quality_mouth': '3', 'quality_ears': '3', 'quality_hair': '3', 'quality_neck': '3', 'facial_hair': '2.0', 'notes': None, 'race_common': 'white', 'gender_common': 'man'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625e178456f03cd939f5b01d,625e15a9b58e919816fee4ea,5dcdd7bf324a3d0a6c24b608
