id,muct_id,lighting,race_guess,gender_guess,quality,quality_eyes,quality_mouth,quality_ears,quality_hair,quality_neck,facial_hair,notes
1,1,q,b,m,3,3,3,3,3,3,1,
2,2,r,w,m,3,3,3,3,3,3,2,eyes
3,3,s,i,w,2,3,3,3,2,3,0,hair
4,4,q,b,m,3,3,3,3,3,3,2,
5,5,q,b,w,3,3,3,3,3,3,0,hat
6,6,r,u,m,3,3,3,3,3,3,3,mustache
7,7,s,u,w,3,3,3,3,3,3,0,
8,8,r,i,m,3,3,3,3,3,3,1,
9,9,r,i,m,3,3,3,3,3,3,2,
10,10,q,i,m,3,3,3,3,3,3,2,
11,11,q,i,m,3,3,3,3,3,3,1,
12,12,q,i,m,3,3,3,3,3,3,2,
13,14,q,w,w,3,3,3,3,3,3,0,
14,15,s,i,m,3,3,3,3,3,3,2,
15,16,s,i,m,3,3,3,3,3,3,2,
16,18,q,b,w,3,3,3,3,3,3,0,earrings
17,19,r,w,w,3,3,3,3,3,3,0,
18,21,q,w,w,3,3,3,3,3,3,0,
19,23,q,b,u,3,3,3,3,3,3,0,
20,24,q,b,w,3,3,3,3,3,3,0,
21,25,r,b,m,3,3,3,3,3,3,2,
22,26,q,b,w,3,3,3,3,3,3,0,earrings
23,27,q,u,m,3,3,3,3,3,3,0,
24,31,q,u,w,3,3,3,3,3,3,0,
25,32,q,u,w,2,3,3,3,2,3,0,hair
26,35,r,u,m,3,3,3,3,3,3,4,
27,37,q,b,w,3,3,3,3,3,3,0,earrings
28,38,q,b,m,3,3,3,3,3,3,2,
29,39,r,w,w,3,3,3,3,3,3,0,earrings hair
30,41,r,b,m,3,3,3,3,3,3,0,
31,42,q,u,w,2,3,3,2,3,3,0,mouth
32,43,q,w,m,3,3,3,3,3,3,0,
33,44,q,u,m,3,3,3,3,3,3,2,
34,45,q,w,m,3,3,3,3,3,3,0,
35,46,q,b,w,3,3,3,3,3,3,0,earrings
36,47,q,b,u,3,3,3,3,3,3,0,
